gene_id	gene_name	gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000162614.21	NEXN	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	5782.09614439021	1.9807086154724	0.0776466908683817	25.509246991992	1.55653778646776e-143	2.86838783290279e-139
ENSG00000109906.17	ZBTB16	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	999.951726186938	6.09739768279989	0.239807546421952	25.4262127017106	1.29411124951e-142	1.19239410529852e-138
ENSG00000120129.8	DUSP1	protein_coding;nonsense_mediated_decay	3500.65162504364	2.97144242585198	0.121672052620604	24.4217333549677	1.00519610783885e-131	6.17458462508478e-128
ENSG00000134243.14	SORT1	protein_coding;retained_intron;nonsense_mediated_decay;protein_coding_CDS_not_defined	5559.45456711846	2.14412289555501	0.095140246114579	22.5364447026215	1.82389815844239e-112	8.40269881594408e-109
ENSG00000162692.14	VCAM1	protein_coding;retained_intron;nonsense_mediated_decay	498.867130868347	-3.59437169171568	0.164591815518057	-21.8380949283675	1.00874446938448e-105	3.71782861636342e-102
ENSG00000101347.13	SAMHD1	protein_coding;nonsense_mediated_decay;retained_intron;protein_coding_CDS_not_defined	14435.5355874029	3.76224224308951	0.172940993177246	21.7544850065341	6.26458629518588e-105	1.92406327079476e-101
ENSG00000125148.9	MT2A	protein_coding;retained_intron;protein_coding_CDS_not_defined	3736.67139172929	2.22708445871858	0.102779436666705	21.6685801260091	4.06085730710086e-104	1.06904969221792e-100
ENSG00000154734.18	ADAMTS1	protein_coding;retained_intron;nonsense_mediated_decay	30677.5776971371	2.33503478950827	0.107965431729465	21.6276149884649	9.87588310099479e-104	2.27490967231415e-100
ENSG00000196136.20	SERPINA3	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	2884.92799253261	3.23370882752618	0.150959766535184	21.4209978045542	8.5145413123245e-102	1.74339963670573e-98
ENSG00000189221.13	MAOA	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	2479.16024282969	3.47364249082889	0.162405481565505	21.388702261431	1.70228912455718e-101	3.13697839873398e-98
ENSG00000157214.16	STEAP2	protein_coding;retained_intron	3153.27312594767	2.06199234237139	0.0983647528029965	20.9627156436932	1.43653049902706e-97	2.40658036691551e-94
ENSG00000211445.14	GPX3	protein_coding;nonsense_mediated_decay;retained_intron;protein_coding_CDS_not_defined;TEC	12732.2285774895	3.77661660286304	0.18250923929973	20.6927420077666	4.02651660968587e-95	6.18338734027427e-92
ENSG00000165995.25	CACNB2	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	629.955955730289	3.32893221431587	0.16753292569763	19.8703162405464	7.3538148833249e-88	1.0424315436147e-84
ENSG00000162493.19	PDPN	protein_coding;nonsense_mediated_decay	1113.03613359865	1.83176118859146	0.0929220177378261	19.7128864954231	1.67154791152303e-86	2.20023463668188e-83
ENSG00000152583.15	SPARCL1	protein_coding;nonsense_mediated_decay	1012.18658861148	4.54657922800112	0.230809953926699	19.6983672092627	2.22686504660142e-86	2.73577793858474e-83
ENSG00000179094.19	PER1	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	789.18127182908	3.02864188132827	0.156186410178341	19.3911997712863	9.15756983820647e-84	1.05472310611543e-80
ENSG00000157150.7	TIMP4	protein_coding;nonsense_mediated_decay	379.272694627644	2.87806629481042	0.153083733447214	18.8006016707375	7.46646090895541e-79	8.09364362530766e-76
ENSG00000137809.19	ITGA11	protein_coding;protein_coding_CDS_not_defined;retained_intron	1238.6192856565	-1.71902540634264	0.0934972635571219	-18.3858365575844	1.70587874592459e-75	1.74644075166102e-72
ENSG00000102804.18	TSC22D1	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay;retained_intron	5594.73234212149	1.22146147632945	0.0681236609116039	17.9300621837455	6.87028034011444e-72	6.66344874250679e-69
