Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508_1	(1, 2.180024600269599e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003444438868425967)	(8, 0.0003967644772490671)	(9, 0.002001262583047492)	(10, 0.005720384551107428)	(11, 0.003134875375187684)	(12, 0.0)	(13, 0.0015303772693892586)	(14, 0.021285760197032367)	(15, 0.20132963188409805)	(16, 0.2405003139017422)	(17, 0.28170713889603816)	(18, 0.28230446563651207)	(19, 0.3176426644068822)	(20, 0.3256825951326765)	(21, 0.2645590653903175)	(22, 0.3266723263011989)	(23, 0.29553721496014845)	(24, 0.16262547513091158)	(25, 0.0401211727433617)	(26, 0.011663131611442357)	(27, 0.0016437385486032779)	(28, 4.796054120593119e-05)	(29, 0.0022236250922749914)	(30, 0.0)	(31, 0.0)	(32, 0.00020056226322480314)	(33, 0.00040548457565014545)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 8.284093481024477e-05)	(40, 0.0)	(41, 0.0)	(42, 4.360049200539199e-06)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.001028971611327251)	(51, 0.0)	(52, 0.00034880393604313587)	(53, 6.104068880754878e-05)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 8.720098401078397e-06)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039508_2	(1, 0.012740063763975537)	(2, 0.01827296619945978)	(3, 0.040631298499824796)	(4, 0.02949573284164768)	(5, 0.026264936384048133)	(6, 0.028758884526756553)	(7, 0.035237917638757804)	(8, 0.029748615695278955)	(9, 10.683690159033231)	(10, 0.03750078317383765)	(11, 0.03028054169774473)	(12, 0.03188067975434262)	(13, 0.026151575104834113)	(14, 0.013507432423270438)	(15, 0.009613908487188932)	(16, 0.014837247429434893)	(17, 0.019764103026044186)	(18, 0.023164941402464764)	(19, 0.020819234932574673)	(20, 0.012038095842688728)	(21, 0.02126395995102967)	(22, 0.01859124979109914)	(23, 0.010429237687689764)	(24, 0.025214164526718187)	(25, 0.018028803444229587)	(26, 0.014558204280600383)	(27, 0.011327407823000839)	(28, 0.019881824354458746)	(29, 0.021412201623848003)	(30, 0.021154958721016193)	(31, 0.017924162263416647)	(32, 0.018443008118280813)	(33, 0.016738228880869982)	(34, 0.017492517392563266)	(35, 0.016899550701289935)	(36, 0.00440800974174513)	(37, 0.010459758032093537)	(38, 0.005995067650741398)	(39, 0.002768631242342391)	(40, 0.00021800246002695993)	(41, 0.0)	(42, 0.0)	(43, 0.03269164890564291)	(44, 0.11206198455225849)	(45, 0.13787783586865107)	(46, 0.14773154706186967)	(47, 0.1975669094240327)	(48, 0.2507420694738088)	(49, 0.2863200709502086)	(50, 0.2917352520572783)	(51, 0.28717900064271484)	(52, 0.3105314241608028)	(53, 0.31667037343516197)	(54, 0.31139907395171007)	(55, 0.3323883508031058)	(56, 0.3144380282444859)	(57, 0.32188935232820737)	(58, 0.23590482204437385)	(59, 0.11931274637275519)	(60, 0.049412437589710735)	(61, 0.010974243837757162)	(62, 0.002040503025852345)	(63, 0.001120532644538574)
SRR1039509_1	(1, 1.8907427674244116e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003876022673220044)	(8, 0.0004301439795890537)	(9, 0.0021412661841081464)	(10, 0.006088191711106606)	(11, 0.0031055449954945965)	(12, 9.453713837122058e-06)	(13, 0.001597677638473628)	(14, 0.02167263897160232)	(15, 0.20194550813168285)	(16, 0.24109333713120532)	(17, 0.2827322197268094)	(18, 0.28280784943750636)	(19, 0.31856652202642055)	(20, 0.32632329422977924)	(21, 0.2653421131234234)	(22, 0.3277933467314517)	(23, 0.29631720651075383)	(24, 0.16305292940576271)	(25, 0.04154907231415145)	(26, 0.011921133148610916)	(27, 0.001630765636903555)	(28, 4.254171226704927e-05)	(29, 0.0021318124702710242)	(30, 0.0)	(31, 0.0)	(32, 0.00025997713052085665)	(33, 0.000316699413543589)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.726856918561029e-06)	(39, 0.00012289827988258675)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 9.453713837122058e-06)	(44, 4.726856918561029e-06)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0011675336588845742)	(51, 0.0)	(52, 0.00032142627046215)	(53, 5.672228302273235e-05)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 9.453713837122058e-06)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039509_2	(1, 0.01295158795685722)	(2, 0.01865217740064182)	(3, 0.041799595730835186)	(4, 0.02993991172216556)	(5, 0.026735102731381185)	(6, 0.02902762833688328)	(7, 0.03616045542699188)	(8, 0.030303879704894763)	(9, 10.680782258895908)	(10, 0.03818827704505456)	(11, 0.03104599624110884)	(12, 0.03240260417673586)	(13, 0.026664199877602768)	(14, 0.013499903359410299)	(15, 0.009846042961362624)	(16, 0.014908506721141487)	(17, 0.020306577322138183)	(18, 0.02368628001890932)	(19, 0.021341758987303047)	(20, 0.011935313719366599)	(21, 0.021483564694859878)	(22, 0.018486737408492184)	(23, 0.010252552656358872)	(24, 0.025250869658953016)	(25, 0.018103861998088742)	(26, 0.014719432444399046)	(27, 0.011273553750768054)	(28, 0.020079688190047254)	(29, 0.02120468013666478)	(30, 0.021606462974742464)	(31, 0.017876972865997813)	(32, 0.018515098550003554)	(33, 0.01684651805775151)	(34, 0.017782435727626594)	(35, 0.01694578205304129)	(36, 0.004287259225134853)	(37, 0.010342362937811532)	(38, 0.0059322054327940925)	(39, 0.002543049022185834)	(40, 0.00018434741982388016)	(41, 0.0)	(42, 0.0)	(43, 0.033560684121783306)	(44, 0.11340675119011621)	(45, 0.13843545857389686)	(46, 0.14797425583555301)	(47, 0.1969539472256824)	(48, 0.2510811858001248)	(49, 0.28750634521455604)	(50, 0.29220011413468716)	(51, 0.2881917394677474)	(52, 0.3117503943498556)	(53, 0.3174037152244546)	(54, 0.3122467143263045)	(55, 0.3337208253073272)	(56, 0.3155555141692972)	(57, 0.32258435040719746)	(58, 0.23573780824247564)	(59, 0.12028905486354108)	(60, 0.05054428103017309)	(61, 0.010994669192572954)	(62, 0.0018198399136459965)	(63, 0.0008886491006894735)
SRR1039512_1	(1, 0.00035185885612036447)	(2, 0.0006042020761662823)	(3, 0.0010697930878002999)	(4, 0.00027722212906452955)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00016704410341067806)	(9, 0.00013861106453226478)	(10, 9.596150621464485e-05)	(11, 0.0011479839447159365)	(12, 0.0)	(13, 0.000451374492194811)	(14, 0.0051890295953104255)	(15, 0.0018730264361154754)	(16, 0.005697270165262063)	(17, 0.0015886960473313425)	(18, 0.0033302196786341564)	(19, 0.0087751466238503)	(20, 0.00926561654450293)	(21, 0.00603491250194322)	(22, 0.005931842736008972)	(23, 0.012499874716922441)	(24, 0.01628502301761121)	(25, 0.017859502545503347)	(26, 0.010239448126088586)	(27, 0.0029605901732147836)	(28, 0.00025234322004591794)	(29, 0.0019085677347134922)	(30, 0.0017450777611626156)	(31, 0.0030387810301304202)	(32, 0.0008245581274739853)	(33, 0.0016597786445273755)	(34, 0.00025234322004591794)	(35, 0.0023101844088710796)	(36, 0.005437818685496541)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 9.240737635484319e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 2.132477915880997e-05)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.00894219072726098)	(60, 0.005046864400918358)	(61, 0.002633610226113031)	(62, 0.002715355212888469)	(63, 0.0008352205170533904)
SRR1039512_2	(1, 7.108259719603322e-05)	(2, 7.108259719603322e-06)	(3, 5.686607775682658e-05)	(4, 4.264955831761994e-05)	(5, 2.843303887841329e-05)	(6, 0.00013150280481266148)	(7, 1.7770649299008305e-05)	(8, 0.00012084041523325649)	(9, 7.819085691563653e-05)	(10, 0.0)	(11, 3.554129859801661e-05)	(12, 6.752846733623156e-05)	(13, 7.108259719603322e-05)	(14, 0.00023101844088710798)	(15, 0.000220356051307703)	(16, 1.7770649299008305e-05)	(17, 3.909542845781827e-05)	(18, 0.0)	(19, 8.885324649504153e-05)	(20, 1.4216519439206645e-05)	(21, 0.0)	(22, 0.0)	(23, 5.686607775682658e-05)	(24, 2.132477915880997e-05)	(25, 0.0)	(26, 3.1987168738214946e-05)	(27, 6.042020761662824e-05)	(28, 3.554129859801661e-05)	(29, 0.00012084041523325649)	(30, 3.554129859801661e-05)	(31, 8.529911663523988e-05)	(32, 3.1987168738214946e-05)	(33, 1.0662389579404984e-05)	(34, 1.4216519439206645e-05)	(35, 7.108259719603322e-06)	(36, 8.529911663523988e-05)	(37, 0.00013150280481266148)	(38, 2.843303887841329e-05)	(39, 3.909542845781827e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 3.909542845781827e-05)	(44, 4.6203688177421595e-05)	(45, 8.885324649504153e-05)	(46, 6.397433747642989e-05)	(47, 0.0001101780256538515)	(48, 3.1987168738214946e-05)	(49, 6.042020761662824e-05)	(50, 3.554129859801661e-06)	(51, 3.1987168738214946e-05)	(52, 0.0)	(53, 3.554129859801661e-05)	(54, 7.108259719603322e-06)	(55, 7.108259719603322e-06)	(56, 3.554129859801661e-06)	(57, 3.554129859801661e-06)	(58, 3.554129859801661e-06)	(59, 0.0)	(60, 1.0662389579404984e-05)	(61, 9.951563607444652e-05)	(62, 0.00010306976593424817)	(63, 0.00010662389579404984)
SRR1039513_1	(1, 0.0016822119696455252)	(2, 0.003762686137051652)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00017238214529936477)	(13, 0.0)	(14, 0.0)	(15, 0.001801096207783018)	(16, 0.0011353444742130576)	(17, 1.783263572062394e-05)	(18, 4.755369525499718e-05)	(19, 0.0006716959454768352)	(20, 0.0005706443430599661)	(21, 0.0028472775033929563)	(22, 0.0013136708314192972)	(23, 0.0026748953580935913)	(24, 0.007192496407318324)	(25, 0.015187461422064725)	(26, 0.000992683388448066)	(27, 0.0058134392449234054)	(28, 5.3497907161871825e-05)	(29, 5.9442119068746475e-06)	(30, 0.0001129400262306183)	(31, 0.000743026488359331)	(32, 0.0025025132127942267)	(33, 0.002894831198647953)	(34, 0.0029126638343685775)	(35, 0.0012245076528161773)	(36, 0.0013077266195124224)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 1.783263572062394e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 5.944211906874647e-05)	(49, 0.0)	(50, 0.0)	(51, 5.9442119068746475e-06)	(52, 0.0)	(53, 0.0)	(54, 0.000101051602416869)	(55, 1.1888423813749295e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0012126192290024282)	(60, 0.0006657517335699605)	(61, 0.0)	(62, 2.377684762749859e-05)	(63, 0.0010699581432374366)
SRR1039513_2	(1, 5.3048606546880766e-05)	(2, 5.766152885530517e-05)	(3, 0.00011762951886482256)	(4, 5.9967990009517376e-05)	(5, 0.00010609721309376153)	(6, 5.3048606546880766e-05)	(7, 6.227445116372959e-05)	(8, 8.995198501427607e-05)	(9, 3.22904561589709e-05)	(10, 2.5371072696334275e-05)	(11, 2.5371072696334275e-05)	(12, 0.00023525903772964512)	(13, 0.0002029685815706742)	(14, 0.00012685536348167137)	(15, 6.919383462636621e-06)	(16, 2.7677533850546485e-05)	(17, 2.3064611542122072e-05)	(18, 0.0)	(19, 0.00013608120809852021)	(20, 6.919383462636621e-06)	(21, 2.3064611542122072e-05)	(22, 0.0)	(23, 8.995198501427607e-05)	(24, 0.0)	(25, 0.0)	(26, 2.306461154212207e-06)	(27, 1.614522807948545e-05)	(28, 4.612922308424414e-06)	(29, 1.3838766925273242e-05)	(30, 0.0)	(31, 2.0758150387909862e-05)	(32, 0.0)	(33, 2.0758150387909862e-05)	(34, 5.535506770109297e-05)	(35, 5.074214539266855e-05)	(36, 2.7677533850546485e-05)	(37, 2.7677533850546485e-05)	(38, 4.612922308424414e-06)	(39, 3.22904561589709e-05)	(40, 4.612922308424414e-06)	(41, 2.7677533850546485e-05)	(42, 4.1516300775819724e-05)	(43, 0.00010379075193954932)	(44, 4.1516300775819724e-05)	(45, 9.456490732270049e-05)	(46, 9.225844616848829e-05)	(47, 2.306461154212207e-06)	(48, 0.0)	(49, 2.306461154212207e-06)	(50, 1.3838766925273242e-05)	(51, 1.1532305771061036e-05)	(52, 3.9209839621607514e-05)	(53, 1.8451689233697655e-05)	(54, 0.0)	(55, 4.1516300775819724e-05)	(56, 3.9209839621607514e-05)	(57, 0.0)	(58, 5.074214539266855e-05)	(59, 0.0)	(60, 7.380675693479062e-05)	(61, 6.919383462636621e-06)	(62, 6.45809123179418e-05)	(63, 0.00014991997502379343)
SRR1039516_1	(1, 2.1978851216730886e-05)	(2, 0.00010256797234474413)	(3, 0.0003296827682509633)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020513594468948826)	(11, 0.00018682023534221255)	(12, 0.699964137841098)	(13, 0.0)	(14, 0.00013553624916984048)	(15, 0.00024909364712295004)	(16, 0.004370128250259992)	(17, 3.663141869455148e-06)	(18, 0.00012088368169201989)	(19, 0.0003809667544233354)	(20, 0.0015788141457351687)	(21, 0.0008132174950190429)	(22, 0.0020806645818505242)	(23, 0.002025717453808697)	(24, 0.003326132817465274)	(25, 0.0025898413017047895)	(26, 0.0007949017856717671)	(27, 0.0004139350312484317)	(28, 0.0003003776332953221)	(29, 0.00027839878207859125)	(30, 0.0004139350312484317)	(31, 0.002377379073276391)	(32, 0.001384667626654046)	(33, 0.0006337235434157407)	(34, 0.000692333813327023)	(35, 0.001087953135228179)	(36, 0.0010293428653168966)	(37, 5.4947128041827216e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 1.0989425608365443e-05)	(48, 3.663141869455148e-06)	(49, 7.326283738910296e-06)	(50, 0.0)	(51, 1.4652567477820592e-05)	(52, 6.959969551964781e-05)	(53, 0.0)	(54, 0.0)	(55, 0.005304229426971054)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 6.959969551964781e-05)	(60, 0.0)	(61, 0.0017729606648162917)	(62, 4.029456056400663e-05)	(63, 0.00013553624916984048)
SRR1039516_2	(1, 0.0)	(2, 7.326283738910296e-06)	(3, 0.0)	(4, 7.326283738910296e-06)	(5, 6.959969551964781e-05)	(6, 1.4652567477820592e-05)	(7, 0.0)	(8, 0.0)	(9, 0.00014652567477820594)	(10, 7.326283738910296e-06)	(11, 1.4652567477820592e-05)	(12, 6.593655365019267e-05)	(13, 8.791540486692354e-05)	(14, 3.2968276825096334e-05)	(15, 7.326283738910296e-06)	(16, 3.6631418694551484e-05)	(17, 2.1978851216730886e-05)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 2.1978851216730886e-05)	(24, 4.762084430291692e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 1.8315709347275742e-05)	(30, 1.0989425608365443e-05)	(31, 3.6631418694551484e-05)	(32, 0.0)	(33, 0.0)	(34, 8.791540486692354e-05)	(35, 0.0)	(36, 5.4947128041827216e-05)	(37, 4.762084430291692e-05)	(38, 0.0)	(39, 2.5641993086186033e-05)	(40, 2.5641993086186033e-05)	(41, 0.0)	(42, 0.0)	(43, 1.8315709347275742e-05)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 8.791540486692354e-05)	(50, 0.0)	(51, 1.0989425608365443e-05)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 7.326283738910296e-06)	(59, 0.0)	(60, 2.5641993086186033e-05)	(61, 4.395770243346177e-05)	(62, 2.1978851216730886e-05)	(63, 1.4652567477820592e-05)
