Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508_1	(1, 38.29439353045436)	(2, 39.966470524039984)	(3, 40.01798572615813)	(4, 40.04427285519261)	(5, 40.06304330300585)	(6, 40.04984220763941)	(7, 40.10475846613644)	(8, 40.002796012351325)	(9, 40.02286466481402)	(10, 39.942360280370345)	(11, 39.73576078781903)	(12, 39.76725625722651)	(13, 39.81800073344748)	(14, 39.68670853389378)	(15, 39.545743259985244)	(16, 39.38282666436921)	(17, 39.239035380970854)	(18, 39.09721806624755)	(19, 38.97255013304472)	(20, 39.01936276049713)	(21, 39.02950571735432)	(22, 38.9925643720934)	(23, 38.87995838420239)	(24, 38.887846062010105)	(25, 38.968557635991786)	(26, 39.05611971927736)	(27, 38.9346631367127)	(28, 38.97466484410797)	(29, 38.98241470076045)	(30, 38.936127764440144)	(31, 38.87655013374233)	(32, 38.64278334902443)	(33, 38.60376740515291)	(34, 38.45030008256625)	(35, 38.4657159085246)	(36, 38.299072735256374)	(37, 38.273216771487334)	(38, 38.395402921084724)	(39, 38.40907886940959)	(40, 38.3492955315905)	(41, 38.29451138258425)	(42, 38.09594026662835)	(43, 38.04064062900511)	(44, 37.94974986615739)	(45, 37.8322768425448)	(46, 37.74177416767642)	(47, 37.55746874030025)	(48, 37.34270444521404)	(49, 37.22770640353014)	(50, 37.1334911467675)	(51, 36.995501083232426)	(52, 36.73744267679814)	(53, 36.61872503354077)	(54, 36.38859169582413)	(55, 36.21728104628624)	(56, 36.07481369182762)	(57, 35.87670042463827)	(58, 35.68983412236417)	(59, 35.4634345999814)	(60, 35.11547991432155)	(61, 34.897113520987816)	(62, 34.68800216049158)	(63, 33.86874568927386)
SRR1039508_2	(1, 38.20655680766964)	(2, 39.85883669265677)	(3, 39.78767192600508)	(4, 39.85855560028482)	(5, 39.80419106241362)	(6, 39.77934824327732)	(7, 39.76066512724956)	(8, 39.72746928225437)	(9, 34.10468879255021)	(10, 36.07140674938232)	(11, 38.20409272586396)	(12, 39.03775475603977)	(13, 39.2709809382573)	(14, 39.372025296482256)	(15, 39.39479098817943)	(16, 39.47793490280862)	(17, 39.43025697999187)	(18, 39.30824915640678)	(19, 39.32319627707607)	(20, 39.19592753092463)	(21, 39.37976028536696)	(22, 39.40652876383318)	(23, 39.41253634482513)	(24, 39.23505940850439)	(25, 39.28152480163847)	(26, 39.257967237805495)	(27, 39.198823475603625)	(28, 39.122464407937365)	(29, 39.09891647981313)	(30, 38.97726369503444)	(31, 38.92213274771478)	(32, 38.894864084404276)	(33, 38.90414144069367)	(34, 38.93949101919246)	(35, 38.922771669324625)	(36, 38.85331813478316)	(37, 38.795131839385725)	(38, 38.697048913778765)	(39, 37.06478278823489)	(40, 37.709850061832036)	(41, 38.05538910583282)	(42, 38.20904077129968)	(43, 38.171201735508866)	(44, 38.04154891445457)	(45, 37.93814293558014)	(46, 37.772364142065925)	(47, 37.618355562971516)	(48, 37.37667223692019)	(49, 37.20348458620146)	(50, 37.0160481638939)	(51, 36.847749305542266)	(52, 36.655971189841296)	(53, 36.303960306809685)	(54, 36.1272351301721)	(55, 35.92964938533552)	(56, 35.73122079938799)	(57, 35.50219208013631)	(58, 35.24748502552002)	(59, 35.24692275357512)	(60, 35.02974900809971)	(61, 34.92453094917704)	(62, 34.65437196739503)	(63, 33.86958573995332)
SRR1039509_1	(1, 38.282531753724896)	(2, 39.952355834763644)	(3, 40.00493134074886)	(4, 40.03314840766134)	(5, 40.054438880251084)	(6, 40.03259040220211)	(7, 40.092684824950545)	(8, 39.99269851865504)	(9, 40.008365449568764)	(10, 39.91176239111272)	(11, 39.72401205972459)	(12, 39.74057127941884)	(13, 39.78320975044701)	(14, 39.64912715987227)	(15, 39.50433024998881)	(16, 39.353291052858694)	(17, 39.22172045585619)	(18, 39.043171755025725)	(19, 38.93545283076571)	(20, 38.97003035634782)	(21, 38.99170290078228)	(22, 38.95645661948334)	(23, 38.84180438876375)	(24, 38.854508431223785)	(25, 38.94649301959041)	(26, 39.033985534021625)	(27, 38.90318489474259)	(28, 38.94876597600827)	(29, 38.91349294069917)	(30, 38.839071414630574)	(31, 38.80937394339976)	(32, 38.600302934806194)	(33, 38.55778003542968)	(34, 38.392229907513844)	(35, 38.41453490540401)	(36, 38.24895655815237)	(37, 38.22568151468538)	(38, 38.35182402554545)	(39, 38.36802825828511)	(40, 38.30537428978384)	(41, 38.22448935410195)	(42, 38.04510225065983)	(43, 37.99458297470276)	(44, 37.90955159286334)	(45, 37.78868179635878)	(46, 37.70190436084221)	(47, 37.50981595651707)	(48, 37.3020908731625)	(49, 37.1868442401854)	(50, 37.09000261726067)	(51, 36.92302294600696)	(52, 36.64353060854927)	(53, 36.52529078796563)	(54, 36.30517651809037)	(55, 36.11294786792046)	(56, 35.955003820009416)	(57, 35.7460594439127)	(58, 35.541116021317556)	(59, 35.30238223662296)	(60, 34.940747950423024)	(61, 34.67904712425825)	(62, 34.43852356246)	(63, 33.622220992189014)
SRR1039509_2	(1, 37.73062540523935)	(2, 39.26687025869663)	(3, 39.20965959681707)	(4, 39.27623879457207)	(5, 39.206551121170286)	(6, 39.2051646867675)	(7, 39.114260799698165)	(8, 39.09307880847471)	(9, 33.64670568561004)	(10, 35.63933920998244)	(11, 37.725180302412014)	(12, 38.44125956178161)	(13, 38.66692944839896)	(14, 38.821122168122294)	(15, 38.814677713205235)	(16, 38.91275526740846)	(17, 38.81639313684955)	(18, 38.63870150971556)	(19, 38.68590725897272)	(20, 38.61293933594372)	(21, 38.7766155014342)	(22, 38.83393237578872)	(23, 38.78897188356787)	(24, 38.647010378807)	(25, 38.704933188949916)	(26, 38.65043749187867)	(27, 38.661447570624794)	(28, 38.53973280117748)	(29, 38.63671972768388)	(30, 38.477725277628394)	(31, 38.43577423340189)	(32, 38.40783534201906)	(33, 38.37365690496659)	(34, 38.436049809160245)	(35, 38.40349830899057)	(36, 38.37123779413281)	(37, 38.37375304923631)	(38, 38.236420791798636)	(39, 36.62655915966316)	(40, 37.21998792098983)	(41, 37.581617763944266)	(42, 37.75514640092151)	(43, 37.71207580063384)	(44, 37.581576451214794)	(45, 37.45777779962636)	(46, 37.297276616659516)	(47, 37.165852694027194)	(48, 36.945774159190236)	(49, 36.8100400993453)	(50, 36.63628566041305)	(51, 36.452606240008905)	(52, 36.27179956689701)	(53, 35.91571328719952)	(54, 35.71117382179664)	(55, 35.500051640911835)	(56, 35.30289557328432)	(57, 35.08322208281671)	(58, 34.833386943768886)	(59, 34.83420530450719)	(60, 34.61200715249082)	(61, 34.51135157052421)	(62, 34.24783700209121)	(63, 33.44925314951658)
SRR1039512_1	(1, 38.094840675822056)	(2, 39.66999225412938)	(3, 39.56189215049807)	(4, 39.54613747473813)	(5, 39.64860872520399)	(6, 39.605683473033146)	(7, 39.58853685785492)	(8, 39.512419160427804)	(9, 39.516467776375)	(10, 39.32288779306378)	(11, 39.38201184506183)	(12, 39.45621621222022)	(13, 39.45810676051654)	(14, 39.40672100883834)	(15, 39.32289120502844)	(16, 39.19460332392176)	(17, 39.14846343237532)	(18, 39.1230777755213)	(19, 39.051698728353664)	(20, 39.11274709288171)	(21, 39.12256018758982)	(22, 39.15073825319209)	(23, 39.106048659876244)	(24, 38.94999360612038)	(25, 38.93101768030332)	(26, 38.91910533879352)	(27, 38.91180878127394)	(28, 38.80531102154862)	(29, 38.75094029836636)	(30, 38.65662780178277)	(31, 38.55923742874059)	(32, 38.47203361837218)	(33, 38.4454732149756)	(34, 38.235774328676406)	(35, 38.17260876899087)	(36, 38.14305877372142)	(37, 38.07022235560477)	(38, 37.89970263306289)	(39, 37.846246920613034)	(40, 37.65340356625655)	(41, 37.50584633037158)	(42, 37.44312347310139)	(43, 37.30108718699933)	(44, 37.17901466156758)	(45, 36.99640400249045)	(46, 36.84209118319187)	(47, 36.68210533289366)	(48, 36.53474396510527)	(49, 36.0914249082377)	(50, 36.00009510851505)	(51, 35.871565724284395)	(52, 35.75480918196654)	(53, 35.52217727274698)	(54, 35.293428961225224)	(55, 35.056092165979855)	(56, 34.866638776224946)	(57, 34.59776188623643)	(58, 34.364750253782645)	(59, 34.2231242564316)	(60, 33.978126249943045)	(61, 33.693391472263464)	(62, 33.39760644281288)	(63, 31.45186019958145)
SRR1039512_2	(1, 37.951911307968835)	(2, 39.48992471713213)	(3, 39.45922887039588)	(4, 39.457597276001145)	(5, 39.42766450094579)	(6, 39.38834978267562)	(7, 39.38107316382456)	(8, 39.30426589412205)	(9, 39.247587296715324)	(10, 39.14056580041386)	(11, 39.07179950073005)	(12, 39.04480506699499)	(13, 38.946275275461055)	(14, 38.91527377355686)	(15, 38.652389999503136)	(16, 38.86562552934321)	(17, 38.8378845861724)	(18, 38.7895510145939)	(19, 38.77167448776637)	(20, 38.712685599326875)	(21, 38.83335225315129)	(22, 38.82266690389299)	(23, 38.85841341794911)	(24, 38.812200489034055)	(25, 38.769049585158406)	(26, 38.697330194515395)	(27, 38.615865024383815)	(28, 38.59274537410451)	(29, 38.50167929081746)	(30, 38.420382124404355)	(31, 38.39505280050861)	(32, 38.29891767505031)	(33, 38.177545952944314)	(34, 38.10889221255317)	(35, 38.009509216605096)	(36, 37.84786575568158)	(37, 37.73981867966777)	(38, 37.63372633953555)	(39, 35.826498042634064)	(40, 36.5022713022282)	(41, 36.857474452381446)	(42, 37.12587832322693)	(43, 37.12478080792622)	(44, 37.101028024953685)	(45, 36.94537547640445)	(46, 36.85247851866142)	(47, 36.67197289961766)	(48, 36.502806802974185)	(49, 36.333500353742544)	(50, 36.190547493090946)	(51, 35.97539490114579)	(52, 35.79481514295315)	(53, 35.57675712093019)	(54, 35.40640831649328)	(55, 35.206858958834715)	(56, 35.02082865817168)	(57, 34.788180613202556)	(58, 34.52469309910954)	(59, 34.34554622391118)	(60, 34.13088104533499)	(61, 33.82586252867383)	(62, 33.60537419265275)	(63, 32.10650689383907)
SRR1039513_1	(1, 37.76609472648541)	(2, 39.19901494897964)	(3, 39.07939220195484)	(4, 39.01280329746834)	(5, 39.142353235030335)	(6, 39.08870975411887)	(7, 39.139952486725385)	(8, 39.09147940021475)	(9, 39.096609076764025)	(10, 38.91986875417878)	(11, 38.89701486433406)	(12, 38.92922316045663)	(13, 38.95568649465544)	(14, 38.85916016132116)	(15, 38.82219417743045)	(16, 38.74751187178002)	(17, 38.65681740474757)	(18, 38.59387123220184)	(19, 38.39807965101294)	(20, 38.546432319678765)	(21, 38.53589376694695)	(22, 38.53691391259441)	(23, 38.494370236903)	(24, 38.39222365121076)	(25, 38.42811218725124)	(26, 38.38489871776216)	(27, 38.27539539708762)	(28, 38.14206838839576)	(29, 38.144942712063326)	(30, 38.064972970479616)	(31, 37.944260946622876)	(32, 37.9575910201504)	(33, 37.92527959195125)	(34, 37.613099866088795)	(35, 37.644825967741475)	(36, 37.548348614713305)	(37, 37.210414164153455)	(38, 37.292671476247406)	(39, 37.29830534085062)	(40, 37.06863044406592)	(41, 36.825430979140094)	(42, 36.747595982378506)	(43, 36.8002164644208)	(44, 36.73173563616858)	(45, 36.50686300874132)	(46, 36.10010885040844)	(47, 36.063103515834904)	(48, 35.94250930625816)	(49, 35.3635425315495)	(50, 35.163013770123534)	(51, 35.08888148240085)	(52, 35.07012452172871)	(53, 34.991451331646125)	(54, 34.802914958300164)	(55, 34.593223253661876)	(56, 34.20887502936441)	(57, 33.860598898371094)	(58, 33.717995768672196)	(59, 33.499610297467385)	(60, 33.1632097507901)	(61, 32.84509692869704)	(62, 32.63050136811981)	(63, 30.89609006384559)
SRR1039513_2	(1, 37.35216174455555)	(2, 38.78084160645573)	(3, 38.78062671346999)	(4, 38.77292147256289)	(5, 38.71712999934681)	(6, 38.6967859048653)	(7, 38.698999438699616)	(8, 38.58364109213334)	(9, 38.49700651326178)	(10, 38.40695611155006)	(11, 38.275207037179044)	(12, 38.21657690996203)	(13, 38.1891212115453)	(14, 38.0630021627225)	(15, 38.03515092928242)	(16, 38.12865998481795)	(17, 38.078858667994695)	(18, 38.01859367498235)	(19, 37.950416551497376)	(20, 37.907999462317775)	(21, 38.06070674951721)	(22, 37.94830074242217)	(23, 38.01847553804203)	(24, 37.979834563999496)	(25, 37.897253544477245)	(26, 37.85375603969918)	(27, 37.743471884607565)	(28, 37.74343101411591)	(29, 37.63854582329407)	(30, 37.619593631989915)	(31, 37.49493558792064)	(32, 37.485179188044484)	(33, 37.31492296050711)	(34, 37.25273811535922)	(35, 37.19794008109148)	(36, 37.01539364464777)	(37, 36.89206942706398)	(38, 36.84905231201511)	(39, 35.05853115696889)	(40, 35.68516115613118)	(41, 36.177152638646916)	(42, 36.38185830837127)	(43, 36.29049896688992)	(44, 36.17811950716276)	(45, 36.12822355623835)	(46, 35.98200955686792)	(47, 35.89925832051249)	(48, 35.761994497521755)	(49, 35.599447593327724)	(50, 35.44789316767161)	(51, 35.217852037011134)	(52, 35.06248888285724)	(53, 34.790531903155205)	(54, 34.517463901115185)	(55, 34.291230322657306)	(56, 34.184509557790506)	(57, 33.971513820868786)	(58, 33.673747471657286)	(59, 33.4499234301026)	(60, 33.16418015546655)	(61, 32.89132746157528)	(62, 32.53329851807103)	(63, 31.13456194213624)
SRR1039516_1	(1, 37.64745864038094)	(2, 39.198646432447816)	(3, 39.18970104000261)	(4, 39.14128247329478)	(5, 39.198984027602506)	(6, 39.215926058748735)	(7, 39.249879134634014)	(8, 39.2101696510894)	(9, 39.140282728615766)	(10, 39.12871679773999)	(11, 39.065518662425724)	(12, 38.81585803420422)	(13, 38.92096313523917)	(14, 38.938040739265986)	(15, 38.873174995247076)	(16, 38.81946219948958)	(17, 38.757279340575856)	(18, 38.702576287676784)	(19, 38.613555309962244)	(20, 38.705173675050744)	(21, 38.69986933572952)	(22, 38.642331890177545)	(23, 38.60775454165487)	(24, 38.38531904317269)	(25, 38.43240217488059)	(26, 38.50527671923153)	(27, 38.44835453498795)	(28, 38.34867993188021)	(29, 38.29919491467993)	(30, 38.23470511891108)	(31, 37.93961427848743)	(32, 37.942147450984415)	(33, 37.9317835801131)	(34, 37.82403709737034)	(35, 37.72300965933879)	(36, 37.638576107450206)	(37, 37.44894118715834)	(38, 37.314566117329704)	(39, 37.208004331298945)	(40, 37.10693216630518)	(41, 36.98769404120375)	(42, 36.87419855034824)	(43, 36.74531672806703)	(44, 36.64345834293382)	(45, 36.37137181366183)	(46, 36.096544594905964)	(47, 35.90107018689716)	(48, 35.62716208706775)	(49, 35.42173649775065)	(50, 35.27471919270214)	(51, 35.06734964725776)	(52, 34.74544263025308)	(53, 34.40573127850611)	(54, 34.45377133276457)	(55, 34.076311633735635)	(56, 33.9125513893015)	(57, 33.791720676640914)	(58, 33.6231368436245)	(59, 33.31714174564095)	(60, 33.00993572284962)	(61, 32.54747937376392)	(62, 32.440446324531656)	(63, 30.742656994018457)
SRR1039516_2	(1, 37.50694202015681)	(2, 38.94011484682389)	(3, 38.91276718498903)	(4, 38.85781089909253)	(5, 38.856358243552776)	(6, 38.81076916088775)	(7, 38.78008210566186)	(8, 38.662849111156945)	(9, 38.49026014534614)	(10, 38.57171644204891)	(11, 38.286327982337795)	(12, 38.362885486155704)	(13, 38.18169930953439)	(14, 38.14455574697507)	(15, 38.10919455935517)	(16, 38.12847686194754)	(17, 38.0865370744757)	(18, 38.08348278341637)	(19, 38.0346792937609)	(20, 37.98402456209886)	(21, 38.1851148962763)	(22, 38.113604359431875)	(23, 38.180343470834245)	(24, 38.07819122846027)	(25, 37.98983551394063)	(26, 38.032841129170805)	(27, 37.98526142195109)	(28, 37.843982868218106)	(29, 37.7836205908135)	(30, 37.74236614055402)	(31, 37.6515650224166)	(32, 37.550864849479666)	(33, 37.36474672853957)	(34, 37.31192275752528)	(35, 37.2068232610974)	(36, 37.06858079260866)	(37, 37.001278363249604)	(38, 36.671147043276726)	(39, 34.93296629872849)	(40, 35.76547748871111)	(41, 36.23067936262797)	(42, 36.3772064660315)	(43, 36.314033203450535)	(44, 36.18517200465805)	(45, 36.12989471763953)	(46, 36.061431401990625)	(47, 35.93966717425602)	(48, 35.757992481035)	(49, 35.438006122575324)	(50, 35.3368695961789)	(51, 35.140022389123104)	(52, 34.93428125676537)	(53, 34.84794429972999)	(54, 34.59581812061041)	(55, 34.3004163893363)	(56, 34.13613059393816)	(57, 33.88984082549635)	(58, 33.6522657448248)	(59, 32.9892164429647)	(60, 32.911850337210524)	(61, 32.756988816794184)	(62, 32.48477305187705)	(63, 30.975918944927226)
