Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR1039508_1	(0.0, 229.0)	(1.0, 147.5)	(2.0, 98.5)	(3.0, 131.0)	(4.0, 144.0)	(5.0, 157.0)	(6.0, 216.0)	(7.0, 297.5)	(8.0, 320.0)	(9.0, 421.5)	(10.0, 817.5)	(11.0, 1112.0)	(12.0, 1660.0)	(13.0, 3123.5)	(14.0, 4039.0)	(15.0, 5850.0)	(16.0, 7661.0)	(17.0, 11394.5)	(18.0, 21584.5)	(19.0, 28041.0)	(20.0, 37606.0)	(21.0, 59587.5)	(22.0, 72004.0)	(23.0, 90690.0)	(24.0, 109376.0)	(25.0, 131445.5)	(26.0, 177965.0)	(27.0, 202415.0)	(28.0, 232277.0)	(29.0, 298648.5)	(30.0, 335158.0)	(31.0, 366272.5)	(32.0, 397387.0)	(33.0, 435664.5)	(34.0, 518888.5)	(35.0, 563835.0)	(36.0, 611941.5)	(37.0, 705805.5)	(38.0, 751563.0)	(39.0, 798449.5)	(40.0, 915521.0)	(41.0, 985706.0)	(42.0, 1003809.5)	(43.0, 1021913.0)	(44.0, 1032167.0)	(45.0, 1060219.5)	(46.0, 1078018.0)	(47.0, 1081687.0)	(48.0, 1101210.0)	(49.0, 1117064.0)	(50.0, 1116828.5)	(51.0, 1116593.0)	(52.0, 1125710.0)	(53.0, 1129071.0)	(54.0, 1123315.0)	(55.0, 1109671.5)	(56.0, 1083734.0)	(57.0, 1071440.0)	(58.0, 1048084.0)	(59.0, 1024728.0)	(60.0, 985236.5)	(61.0, 902045.0)	(62.0, 858345.0)	(63.0, 806400.5)	(64.0, 693700.0)	(65.0, 632944.0)	(66.0, 574205.5)	(67.0, 461194.0)	(68.0, 406921.0)	(69.0, 353079.5)	(70.0, 299238.0)	(71.0, 256377.0)	(72.0, 183846.0)	(73.0, 154176.0)	(74.0, 133046.0)	(75.0, 96586.5)	(76.0, 81257.0)	(77.0, 67838.0)	(78.0, 54419.0)	(79.0, 43513.5)	(80.0, 26681.0)	(81.0, 20754.0)	(82.0, 15961.5)	(83.0, 8512.0)	(84.0, 5855.0)	(85.0, 4316.5)	(86.0, 2778.0)	(87.0, 2021.0)	(88.0, 936.5)	(89.0, 609.0)	(90.0, 498.0)	(91.0, 298.5)	(92.0, 210.0)	(93.0, 164.0)	(94.0, 93.0)	(95.0, 68.0)	(96.0, 55.0)	(97.0, 42.0)	(98.0, 36.5)	(99.0, 35.5)	(100.0, 40.0)
SRR1039508_2	(0.0, 386.0)	(1.0, 364.0)	(2.0, 417.5)	(3.0, 493.0)	(4.0, 538.0)	(5.0, 583.0)	(6.0, 642.0)	(7.0, 794.0)	(8.0, 887.0)	(9.0, 979.0)	(10.0, 1438.0)	(11.0, 1805.0)	(12.0, 2346.5)	(13.0, 3953.0)	(14.0, 5018.0)	(15.0, 6984.5)	(16.0, 8951.0)	(17.0, 12853.0)	(18.0, 23582.5)	(19.0, 30410.0)	(20.0, 40163.0)	(21.0, 62845.0)	(22.0, 75774.0)	(23.0, 94816.0)	(24.0, 113858.0)	(25.0, 135638.0)	(26.0, 182157.5)	(27.0, 206897.0)	(28.0, 236702.5)	(29.0, 302420.0)	(30.0, 338332.0)	(31.0, 370469.0)	(32.0, 402606.0)	(33.0, 440575.0)	(34.0, 524352.5)	(35.0, 570161.0)	(36.0, 627792.0)	(37.0, 735217.5)	(38.0, 785012.0)	(39.0, 826571.5)	(40.0, 904742.0)	(41.0, 941353.0)	(42.0, 970776.5)	(43.0, 1000200.0)	(44.0, 1022143.5)	(45.0, 1062081.5)	(46.0, 1080076.0)	(47.0, 1085130.0)	(48.0, 1104859.5)	(49.0, 1119535.0)	(50.0, 1117139.5)	(51.0, 1114744.0)	(52.0, 1120084.5)	(53.0, 1121433.5)	(54.0, 1117442.0)	(55.0, 1102325.5)	(56.0, 1074611.0)	(57.0, 1062013.0)	(58.0, 1038703.0)	(59.0, 1015393.0)	(60.0, 977381.0)	(61.0, 894994.0)	(62.0, 850619.0)	(63.0, 799017.5)	(64.0, 687119.0)	(65.0, 626822.0)	(66.0, 568910.0)	(67.0, 456812.5)	(68.0, 402627.0)	(69.0, 348905.0)	(70.0, 295183.0)	(71.0, 254212.5)	(72.0, 183912.0)	(73.0, 154582.0)	(74.0, 133675.5)	(75.0, 97131.0)	(76.0, 81493.0)	(77.0, 68432.0)	(78.0, 55371.0)	(79.0, 44295.5)	(80.0, 26981.0)	(81.0, 20742.0)	(82.0, 16034.0)	(83.0, 8612.0)	(84.0, 5898.0)	(85.0, 4360.5)	(86.0, 2823.0)	(87.0, 2152.5)	(88.0, 1157.0)	(89.0, 832.0)	(90.0, 699.0)	(91.0, 481.0)	(92.0, 396.0)	(93.0, 353.5)	(94.0, 270.0)	(95.0, 229.0)	(96.0, 207.5)	(97.0, 186.0)	(98.0, 225.0)	(99.0, 244.0)	(100.0, 224.0)
SRR1039509_1	(0.0, 248.0)	(1.0, 162.5)	(2.0, 88.0)	(3.0, 99.0)	(4.0, 129.5)	(5.0, 160.0)	(6.0, 209.0)	(7.0, 319.5)	(8.0, 381.0)	(9.0, 497.5)	(10.0, 850.5)	(11.0, 1087.0)	(12.0, 1637.5)	(13.0, 3157.0)	(14.0, 4126.0)	(15.0, 6009.5)	(16.0, 7893.0)	(17.0, 11450.0)	(18.0, 21335.5)	(19.0, 27664.0)	(20.0, 36879.0)	(21.0, 58254.0)	(22.0, 70414.0)	(23.0, 88851.0)	(24.0, 107288.0)	(25.0, 128363.0)	(26.0, 173623.5)	(27.0, 197809.0)	(28.0, 224971.5)	(29.0, 286680.5)	(30.0, 321227.0)	(31.0, 351277.0)	(32.0, 381327.0)	(33.0, 417254.0)	(34.0, 493227.0)	(35.0, 533273.0)	(36.0, 577772.5)	(37.0, 664953.0)	(38.0, 707634.0)	(39.0, 752571.0)	(40.0, 890718.0)	(41.0, 983928.0)	(42.0, 981112.0)	(43.0, 978296.0)	(44.0, 979181.0)	(45.0, 989842.0)	(46.0, 999618.0)	(47.0, 1002253.5)	(48.0, 1018241.0)	(49.0, 1031593.0)	(50.0, 1031744.5)	(51.0, 1031896.0)	(52.0, 1037587.0)	(53.0, 1027973.5)	(54.0, 1012669.0)	(55.0, 1000811.0)	(56.0, 974561.5)	(57.0, 960170.0)	(58.0, 934082.0)	(59.0, 907994.0)	(60.0, 874082.5)	(61.0, 799059.0)	(62.0, 757947.0)	(63.0, 712514.0)	(64.0, 613672.0)	(65.0, 560263.0)	(66.0, 507796.0)	(67.0, 407490.5)	(68.0, 359652.0)	(69.0, 313839.5)	(70.0, 268027.0)	(71.0, 230298.5)	(72.0, 166098.0)	(73.0, 139626.0)	(74.0, 120581.0)	(75.0, 87808.0)	(76.0, 74080.0)	(77.0, 61734.0)	(78.0, 49388.0)	(79.0, 39572.0)	(80.0, 23995.5)	(81.0, 18235.0)	(82.0, 14007.0)	(83.0, 7324.0)	(84.0, 4869.0)	(85.0, 3510.5)	(86.0, 2152.0)	(87.0, 1589.5)	(88.0, 771.0)	(89.0, 515.0)	(90.0, 441.0)	(91.0, 282.5)	(92.0, 198.0)	(93.0, 163.0)	(94.0, 96.5)	(95.0, 65.0)	(96.0, 56.0)	(97.0, 47.0)	(98.0, 52.5)	(99.0, 74.0)	(100.0, 90.0)
SRR1039509_2	(0.0, 370.0)	(1.0, 345.0)	(2.0, 407.0)	(3.0, 494.0)	(4.0, 559.5)	(5.0, 625.0)	(6.0, 688.0)	(7.0, 838.5)	(8.0, 926.0)	(9.0, 1052.0)	(10.0, 1445.5)	(11.0, 1713.0)	(12.0, 2398.5)	(13.0, 4193.5)	(14.0, 5303.0)	(15.0, 7283.5)	(16.0, 9264.0)	(17.0, 13134.5)	(18.0, 23247.5)	(19.0, 29490.0)	(20.0, 39120.0)	(21.0, 61400.5)	(22.0, 74051.0)	(23.0, 92482.0)	(24.0, 110913.0)	(25.0, 131686.5)	(26.0, 176807.0)	(27.0, 201154.0)	(28.0, 229155.0)	(29.0, 290615.0)	(30.0, 324074.0)	(31.0, 353719.5)	(32.0, 383365.0)	(33.0, 418512.5)	(34.0, 496955.0)	(35.0, 540250.0)	(36.0, 599117.0)	(37.0, 706248.5)	(38.0, 754513.0)	(39.0, 787406.5)	(40.0, 850534.0)	(41.0, 880768.0)	(42.0, 907277.0)	(43.0, 933786.0)	(44.0, 952250.5)	(45.0, 982947.5)	(46.0, 995180.0)	(47.0, 1003150.5)	(48.0, 1025183.5)	(49.0, 1039246.0)	(50.0, 1034865.5)	(51.0, 1030485.0)	(52.0, 1033608.5)	(53.0, 1032943.5)	(54.0, 1029155.0)	(55.0, 1010689.5)	(56.0, 974880.5)	(57.0, 957537.0)	(58.0, 932674.0)	(59.0, 907811.0)	(60.0, 871628.0)	(61.0, 795346.0)	(62.0, 755247.0)	(63.0, 709605.5)	(64.0, 611177.5)	(65.0, 558391.0)	(66.0, 505164.0)	(67.0, 405765.0)	(68.0, 359593.0)	(69.0, 313551.5)	(70.0, 267510.0)	(71.0, 230404.0)	(72.0, 166916.0)	(73.0, 140534.0)	(74.0, 121588.0)	(75.0, 88460.5)	(76.0, 74279.0)	(77.0, 61981.5)	(78.0, 49684.0)	(79.0, 39723.5)	(80.0, 23956.5)	(81.0, 18150.0)	(82.0, 13947.5)	(83.0, 7412.5)	(84.0, 5080.0)	(85.0, 3718.0)	(86.0, 2356.0)	(87.0, 1791.5)	(88.0, 985.5)	(89.0, 744.0)	(90.0, 636.5)	(91.0, 457.0)	(92.0, 385.0)	(93.0, 345.0)	(94.0, 284.0)	(95.0, 263.0)	(96.0, 237.0)	(97.0, 211.0)	(98.0, 240.5)	(99.0, 256.0)	(100.0, 242.0)
SRR1039512_1	(0.0, 208.0)	(1.0, 144.5)	(2.0, 96.0)	(3.0, 111.0)	(4.0, 158.5)	(5.0, 206.0)	(6.0, 255.0)	(7.0, 400.0)	(8.0, 496.0)	(9.0, 676.5)	(10.0, 1150.5)	(11.0, 1444.0)	(12.0, 2185.5)	(13.0, 3991.5)	(14.0, 5056.0)	(15.0, 7202.0)	(16.0, 9348.0)	(17.0, 13662.5)	(18.0, 25331.5)	(19.0, 32686.0)	(20.0, 42554.0)	(21.0, 66543.5)	(22.0, 80665.0)	(23.0, 102579.0)	(24.0, 124493.0)	(25.0, 149532.5)	(26.0, 204800.0)	(27.0, 235028.0)	(28.0, 269836.5)	(29.0, 352965.0)	(30.0, 401285.0)	(31.0, 441416.5)	(32.0, 481548.0)	(33.0, 533764.0)	(34.0, 646994.5)	(35.0, 708009.0)	(36.0, 771399.0)	(37.0, 891201.0)	(38.0, 947613.0)	(39.0, 1016967.0)	(40.0, 1136262.0)	(41.0, 1186203.0)	(42.0, 1224960.0)	(43.0, 1263717.0)	(44.0, 1295308.5)	(45.0, 1358596.0)	(46.0, 1390292.0)	(47.0, 1398859.0)	(48.0, 1423573.0)	(49.0, 1439720.0)	(50.0, 1426005.0)	(51.0, 1412290.0)	(52.0, 1407020.5)	(53.0, 1394406.0)	(54.0, 1387061.0)	(55.0, 1369169.0)	(56.0, 1331179.5)	(57.0, 1311082.0)	(58.0, 1267162.5)	(59.0, 1223243.0)	(60.0, 1180494.5)	(61.0, 1081383.5)	(62.0, 1025021.0)	(63.0, 951805.5)	(64.0, 802877.0)	(65.0, 727164.0)	(66.0, 658817.5)	(67.0, 524864.5)	(68.0, 459258.0)	(69.0, 401503.5)	(70.0, 343749.0)	(71.0, 293626.5)	(72.0, 208803.5)	(73.0, 174103.0)	(74.0, 149800.0)	(75.0, 107888.0)	(76.0, 90279.0)	(77.0, 75855.5)	(78.0, 61432.0)	(79.0, 49195.0)	(80.0, 29875.0)	(81.0, 22792.0)	(82.0, 17797.0)	(83.0, 10054.5)	(84.0, 7307.0)	(85.0, 5687.5)	(86.0, 4068.0)	(87.0, 3222.0)	(88.0, 1834.5)	(89.0, 1293.0)	(90.0, 1000.5)	(91.0, 577.5)	(92.0, 447.0)	(93.0, 381.0)	(94.0, 235.5)	(95.0, 156.0)	(96.0, 138.5)	(97.0, 121.0)	(98.0, 86.5)	(99.0, 46.0)	(100.0, 40.0)
SRR1039512_2	(0.0, 608.0)	(1.0, 501.0)	(2.0, 403.5)	(3.0, 413.0)	(4.0, 462.5)	(5.0, 512.0)	(6.0, 568.0)	(7.0, 757.5)	(8.0, 891.0)	(9.0, 1090.5)	(10.0, 1619.0)	(11.0, 1948.0)	(12.0, 2726.0)	(13.0, 4610.5)	(14.0, 5717.0)	(15.0, 7849.0)	(16.0, 9981.0)	(17.0, 14464.0)	(18.0, 26546.0)	(19.0, 34145.0)	(20.0, 44349.0)	(21.0, 69666.5)	(22.0, 84780.0)	(23.0, 107257.5)	(24.0, 129735.0)	(25.0, 155121.5)	(26.0, 211784.0)	(27.0, 243060.0)	(28.0, 277454.0)	(29.0, 360987.5)	(30.0, 410127.0)	(31.0, 451019.5)	(32.0, 491912.0)	(33.0, 543105.0)	(34.0, 656378.5)	(35.0, 718459.0)	(36.0, 783600.0)	(37.0, 903950.5)	(38.0, 959160.0)	(39.0, 1027257.0)	(40.0, 1143278.5)	(41.0, 1191203.0)	(42.0, 1229431.5)	(43.0, 1267660.0)	(44.0, 1298641.0)	(45.0, 1360526.5)	(46.0, 1391431.0)	(47.0, 1395560.5)	(48.0, 1414492.5)	(49.0, 1429295.0)	(50.0, 1413609.0)	(51.0, 1397923.0)	(52.0, 1389104.0)	(53.0, 1373647.0)	(54.0, 1367009.0)	(55.0, 1347814.0)	(56.0, 1307942.0)	(57.0, 1287265.0)	(58.0, 1245415.5)	(59.0, 1203566.0)	(60.0, 1161649.5)	(61.0, 1067652.5)	(62.0, 1015572.0)	(63.0, 944160.5)	(64.0, 799261.0)	(65.0, 725773.0)	(66.0, 658775.0)	(67.0, 527687.0)	(68.0, 463597.0)	(69.0, 406045.5)	(70.0, 348494.0)	(71.0, 298081.5)	(72.0, 213284.0)	(73.0, 178899.0)	(74.0, 154086.0)	(75.0, 111917.0)	(76.0, 94561.0)	(77.0, 79830.0)	(78.0, 65099.0)	(79.0, 52599.5)	(80.0, 32807.5)	(81.0, 25515.0)	(82.0, 20361.0)	(83.0, 12297.5)	(84.0, 9388.0)	(85.0, 7604.5)	(86.0, 5821.0)	(87.0, 4893.5)	(88.0, 3264.0)	(89.0, 2562.0)	(90.0, 2175.0)	(91.0, 1520.0)	(92.0, 1252.0)	(93.0, 1057.0)	(94.0, 730.5)	(95.0, 599.0)	(96.0, 502.5)	(97.0, 406.0)	(98.0, 350.5)	(99.0, 271.5)	(100.0, 248.0)
SRR1039513_1	(0.0, 157.0)	(1.0, 108.0)	(2.0, 65.5)	(3.0, 72.0)	(4.0, 106.0)	(5.0, 140.0)	(6.0, 193.0)	(7.0, 316.5)	(8.0, 387.0)	(9.0, 521.5)	(10.0, 830.0)	(11.0, 1004.0)	(12.0, 1503.0)	(13.0, 2788.5)	(14.0, 3575.0)	(15.0, 5438.5)	(16.0, 7302.0)	(17.0, 10673.0)	(18.0, 19938.5)	(19.0, 25833.0)	(20.0, 33934.0)	(21.0, 53359.5)	(22.0, 64684.0)	(23.0, 81663.5)	(24.0, 98643.0)	(25.0, 117512.5)	(26.0, 158853.0)	(27.0, 181324.0)	(28.0, 205825.5)	(29.0, 262063.0)	(30.0, 293799.0)	(31.0, 318561.5)	(32.0, 343324.0)	(33.0, 374103.5)	(34.0, 440555.5)	(35.0, 476228.0)	(36.0, 514793.5)	(37.0, 583418.5)	(38.0, 613478.0)	(39.0, 649387.5)	(40.0, 711030.5)	(41.0, 736764.0)	(42.0, 757490.0)	(43.0, 778216.0)	(44.0, 794312.0)	(45.0, 823368.0)	(46.0, 836328.0)	(47.0, 838073.0)	(48.0, 846742.5)	(49.0, 853667.0)	(50.0, 843875.5)	(51.0, 834084.0)	(52.0, 826980.0)	(53.0, 808109.5)	(54.0, 796343.0)	(55.0, 782760.5)	(56.0, 749775.5)	(57.0, 730373.0)	(58.0, 702088.5)	(59.0, 673804.0)	(60.0, 645888.0)	(61.0, 585462.5)	(62.0, 552953.0)	(63.0, 512286.0)	(64.0, 429464.5)	(65.0, 387310.0)	(66.0, 348357.5)	(67.0, 274454.5)	(68.0, 239504.0)	(69.0, 209045.0)	(70.0, 178586.0)	(71.0, 152855.0)	(72.0, 108379.0)	(73.0, 89634.0)	(74.0, 77113.0)	(75.0, 55468.0)	(76.0, 46344.0)	(77.0, 38963.0)	(78.0, 31582.0)	(79.0, 25589.0)	(80.0, 15876.5)	(81.0, 12157.0)	(82.0, 9617.5)	(83.0, 5615.5)	(84.0, 4153.0)	(85.0, 3210.5)	(86.0, 2268.0)	(87.0, 1822.0)	(88.0, 1062.0)	(89.0, 748.0)	(90.0, 570.0)	(91.0, 325.5)	(92.0, 259.0)	(93.0, 200.0)	(94.0, 118.5)	(95.0, 96.0)	(96.0, 74.0)	(97.0, 52.0)	(98.0, 41.0)	(99.0, 24.0)	(100.0, 18.0)
SRR1039513_2	(0.0, 1150.0)	(1.0, 953.5)	(2.0, 817.5)	(3.0, 878.0)	(4.0, 978.0)	(5.0, 1078.0)	(6.0, 1245.5)	(7.0, 1655.5)	(8.0, 1898.0)	(9.0, 2253.5)	(10.0, 3248.5)	(11.0, 3888.0)	(12.0, 5237.5)	(13.0, 9065.5)	(14.0, 11544.0)	(15.0, 16241.5)	(16.0, 20939.0)	(17.0, 30120.5)	(18.0, 55150.0)	(19.0, 70998.0)	(20.0, 93235.0)	(21.0, 145365.5)	(22.0, 175259.0)	(23.0, 220523.5)	(24.0, 265788.0)	(25.0, 314512.5)	(26.0, 420100.0)	(27.0, 476963.0)	(28.0, 540282.5)	(29.0, 684936.0)	(30.0, 766270.0)	(31.0, 831684.0)	(32.0, 897098.0)	(33.0, 977043.5)	(34.0, 1148311.5)	(35.0, 1239634.0)	(36.0, 1337105.0)	(37.0, 1514327.0)	(38.0, 1594078.0)	(39.0, 1681863.0)	(40.0, 1835365.0)	(41.0, 1901082.0)	(42.0, 1950232.5)	(43.0, 1999383.0)	(44.0, 2041534.5)	(45.0, 2112471.5)	(46.0, 2141257.0)	(47.0, 2144874.5)	(48.0, 2162294.0)	(49.0, 2176096.0)	(50.0, 2147207.5)	(51.0, 2118319.0)	(52.0, 2097154.5)	(53.0, 2046811.5)	(54.0, 2017633.0)	(55.0, 1983165.5)	(56.0, 1903950.0)	(57.0, 1859202.0)	(58.0, 1790528.0)	(59.0, 1721854.0)	(60.0, 1651902.5)	(61.0, 1498991.5)	(62.0, 1416032.0)	(63.0, 1315866.0)	(64.0, 1107783.5)	(65.0, 999867.0)	(66.0, 903475.5)	(67.0, 717316.5)	(68.0, 627549.0)	(69.0, 549444.5)	(70.0, 471340.0)	(71.0, 404162.5)	(72.0, 288200.0)	(73.0, 239415.0)	(74.0, 206975.0)	(75.0, 150621.0)	(76.0, 126707.0)	(77.0, 107555.5)	(78.0, 88404.0)	(79.0, 72247.0)	(80.0, 46205.5)	(81.0, 36321.0)	(82.0, 29579.0)	(83.0, 18575.5)	(84.0, 14314.0)	(85.0, 11738.5)	(86.0, 9163.0)	(87.0, 7596.0)	(88.0, 5025.0)	(89.0, 4021.0)	(90.0, 3433.0)	(91.0, 2389.5)	(92.0, 1934.0)	(93.0, 1662.5)	(94.0, 1198.5)	(95.0, 1006.0)	(96.0, 858.5)	(97.0, 711.0)	(98.0, 611.5)	(99.0, 443.0)	(100.0, 374.0)
SRR1039516_1	(0.0, 268.0)	(1.0, 188.5)	(2.0, 133.5)	(3.0, 158.0)	(4.0, 187.5)	(5.0, 217.0)	(6.0, 266.0)	(7.0, 407.5)	(8.0, 500.0)	(9.0, 690.5)	(10.0, 1234.5)	(11.0, 1588.0)	(12.0, 2267.5)	(13.0, 3988.5)	(14.0, 5030.0)	(15.0, 7084.5)	(16.0, 9139.0)	(17.0, 13347.5)	(18.0, 24664.0)	(19.0, 31772.0)	(20.0, 41148.5)	(21.0, 64749.5)	(22.0, 78974.0)	(23.0, 99707.5)	(24.0, 120441.0)	(25.0, 145601.0)	(26.0, 201307.0)	(27.0, 231853.0)	(28.0, 267699.5)	(29.0, 349894.0)	(30.0, 396242.0)	(31.0, 437640.5)	(32.0, 479039.0)	(33.0, 535239.5)	(34.0, 653264.5)	(35.0, 715089.0)	(36.0, 782851.0)	(37.0, 909978.5)	(38.0, 969344.0)	(39.0, 1038839.5)	(40.0, 1156395.0)	(41.0, 1204455.0)	(42.0, 1245701.5)	(43.0, 1286948.0)	(44.0, 1298693.0)	(45.0, 1336954.0)	(46.0, 1363470.0)	(47.0, 1367433.5)	(48.0, 1383704.0)	(49.0, 1396011.0)	(50.0, 1378031.0)	(51.0, 1360051.0)	(52.0, 1353025.5)	(53.0, 1335441.0)	(54.0, 1324882.0)	(55.0, 1302317.0)	(56.0, 1256522.0)	(57.0, 1233292.0)	(58.0, 1195388.5)	(59.0, 1157485.0)	(60.0, 1110897.0)	(61.0, 1009901.5)	(62.0, 955494.0)	(63.0, 886461.0)	(64.0, 745344.0)	(65.0, 673260.0)	(66.0, 609637.0)	(67.0, 486068.5)	(68.0, 426123.0)	(69.0, 371935.5)	(70.0, 317748.0)	(71.0, 272633.5)	(72.0, 195828.0)	(73.0, 164137.0)	(74.0, 141449.0)	(75.0, 102421.0)	(76.0, 86081.0)	(77.0, 70702.0)	(78.0, 55323.0)	(79.0, 44158.0)	(80.0, 25919.0)	(81.0, 18845.0)	(82.0, 14698.5)	(83.0, 8234.0)	(84.0, 5916.0)	(85.0, 4545.0)	(86.0, 3174.0)	(87.0, 2555.5)	(88.0, 1469.0)	(89.0, 1001.0)	(90.0, 808.0)	(91.0, 470.0)	(92.0, 325.0)	(93.0, 284.0)	(94.0, 196.5)	(95.0, 150.0)	(96.0, 118.0)	(97.0, 86.0)	(98.0, 64.0)	(99.0, 36.5)	(100.0, 31.0)
SRR1039516_2	(0.0, 634.0)	(1.0, 546.0)	(2.0, 485.5)	(3.0, 513.0)	(4.0, 585.0)	(5.0, 657.0)	(6.0, 691.0)	(7.0, 858.5)	(8.0, 992.0)	(9.0, 1161.0)	(10.0, 1725.0)	(11.0, 2120.0)	(12.0, 2873.0)	(13.0, 4679.5)	(14.0, 5733.0)	(15.0, 7879.0)	(16.0, 10025.0)	(17.0, 14401.5)	(18.0, 25929.5)	(19.0, 33081.0)	(20.0, 42301.0)	(21.0, 65885.0)	(22.0, 80249.0)	(23.0, 102172.0)	(24.0, 124095.0)	(25.0, 149479.0)	(26.0, 205112.5)	(27.0, 235362.0)	(28.0, 271088.0)	(29.0, 352689.0)	(30.0, 398564.0)	(31.0, 440190.0)	(32.0, 481816.0)	(33.0, 538102.5)	(34.0, 656234.0)	(35.0, 718079.0)	(36.0, 786693.5)	(37.0, 915882.5)	(38.0, 976457.0)	(39.0, 1044776.0)	(40.0, 1152912.0)	(41.0, 1192729.0)	(42.0, 1225561.5)	(43.0, 1258394.0)	(44.0, 1278404.0)	(45.0, 1325883.5)	(46.0, 1353353.0)	(47.0, 1356518.0)	(48.0, 1370755.0)	(49.0, 1381827.0)	(50.0, 1362987.0)	(51.0, 1344147.0)	(52.0, 1335504.5)	(53.0, 1318568.5)	(54.0, 1310275.0)	(55.0, 1290181.5)	(56.0, 1247391.5)	(57.0, 1224695.0)	(58.0, 1189908.5)	(59.0, 1155122.0)	(60.0, 1110747.0)	(61.0, 1014685.0)	(62.0, 962998.0)	(63.0, 894742.5)	(64.0, 755100.0)	(65.0, 683713.0)	(66.0, 620621.0)	(67.0, 496204.0)	(68.0, 434879.0)	(69.0, 380380.5)	(70.0, 325882.0)	(71.0, 280237.0)	(72.0, 202345.5)	(73.0, 170099.0)	(74.0, 147378.5)	(75.0, 107481.5)	(76.0, 90305.0)	(77.0, 75193.5)	(78.0, 60082.0)	(79.0, 48624.0)	(80.0, 29635.5)	(81.0, 22105.0)	(82.0, 17697.5)	(83.0, 10687.5)	(84.0, 8085.0)	(85.0, 6613.5)	(86.0, 5142.0)	(87.0, 4255.5)	(88.0, 2837.5)	(89.0, 2306.0)	(90.0, 1963.5)	(91.0, 1362.5)	(92.0, 1104.0)	(93.0, 975.0)	(94.0, 713.0)	(95.0, 580.0)	(96.0, 490.0)	(97.0, 400.0)	(98.0, 332.0)	(99.0, 243.5)	(100.0, 223.0)
