Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR1039508_1	(2.0, 1466.0)	(3.0, 654.0)	(4.0, 1063.0)	(5.0, 1688.0)	(6.0, 3109.0)	(7.0, 5375.0)	(8.0, 7341.0)	(9.0, 9350.0)	(10.0, 10496.0)	(11.0, 12310.0)	(12.0, 12851.0)	(13.0, 13353.0)	(14.0, 14671.0)	(15.0, 15027.0)	(16.0, 16223.0)	(17.0, 16526.0)	(18.0, 17428.0)	(19.0, 18491.0)	(20.0, 20171.0)	(21.0, 22498.0)	(22.0, 25496.0)	(23.0, 30076.0)	(24.0, 36451.0)	(25.0, 45218.0)	(26.0, 56532.0)	(27.0, 71691.0)	(28.0, 92133.0)	(29.0, 118436.0)	(30.0, 153761.0)	(31.0, 200073.0)	(32.0, 261455.0)	(33.0, 344136.0)	(34.0, 498979.0)	(35.0, 766685.0)	(36.0, 1309083.0)	(37.0, 2340621.0)	(38.0, 3843346.0)	(39.0, 5527015.0)	(40.0, 6994243.0)
SRR1039508_2	(2.0, 57104.0)	(3.0, 6749.0)	(4.0, 6578.0)	(5.0, 7752.0)	(6.0, 9701.0)	(7.0, 8057.0)	(8.0, 8636.0)	(9.0, 9397.0)	(10.0, 9883.0)	(11.0, 10886.0)	(12.0, 11185.0)	(13.0, 11628.0)	(14.0, 12291.0)	(15.0, 12540.0)	(16.0, 14025.0)	(17.0, 15925.0)	(18.0, 17717.0)	(19.0, 20127.0)	(20.0, 23715.0)	(21.0, 26850.0)	(22.0, 31510.0)	(23.0, 36435.0)	(24.0, 43085.0)	(25.0, 52276.0)	(26.0, 63555.0)	(27.0, 79156.0)	(28.0, 97766.0)	(29.0, 114543.0)	(30.0, 146757.0)	(31.0, 176488.0)	(32.0, 237171.0)	(33.0, 320328.0)	(34.0, 472026.0)	(35.0, 776315.0)	(36.0, 1389388.0)	(37.0, 2524281.0)	(38.0, 4172725.0)	(39.0, 5638329.0)	(40.0, 6262641.0)
SRR1039509_1	(2.0, 1575.0)	(3.0, 753.0)	(4.0, 1224.0)	(5.0, 1978.0)	(6.0, 3690.0)	(7.0, 6053.0)	(8.0, 8289.0)	(9.0, 10474.0)	(10.0, 11617.0)	(11.0, 13703.0)	(12.0, 14111.0)	(13.0, 14448.0)	(14.0, 15380.0)	(15.0, 16361.0)	(16.0, 17104.0)	(17.0, 17749.0)	(18.0, 18445.0)	(19.0, 19543.0)	(20.0, 21342.0)	(21.0, 23490.0)	(22.0, 26955.0)	(23.0, 30835.0)	(24.0, 37216.0)	(25.0, 45401.0)	(26.0, 56849.0)	(27.0, 71154.0)	(28.0, 90623.0)	(29.0, 114880.0)	(30.0, 149071.0)	(31.0, 190511.0)	(32.0, 245891.0)	(33.0, 324447.0)	(34.0, 465463.0)	(35.0, 702481.0)	(36.0, 1198344.0)	(37.0, 2128200.0)	(38.0, 3480253.0)	(39.0, 5035999.0)	(40.0, 6523805.0)
SRR1039509_2	(2.0, 153299.0)	(3.0, 13440.0)	(4.0, 11475.0)	(5.0, 13059.0)	(6.0, 16101.0)	(7.0, 11743.0)	(8.0, 11068.0)	(9.0, 11606.0)	(10.0, 12337.0)	(11.0, 15412.0)	(12.0, 12911.0)	(13.0, 12747.0)	(14.0, 13200.0)	(15.0, 13478.0)	(16.0, 15906.0)	(17.0, 19507.0)	(18.0, 23222.0)	(19.0, 29027.0)	(20.0, 37187.0)	(21.0, 43108.0)	(22.0, 48770.0)	(23.0, 55124.0)	(24.0, 63554.0)	(25.0, 73396.0)	(26.0, 85522.0)	(27.0, 101046.0)	(28.0, 118323.0)	(29.0, 134549.0)	(30.0, 163617.0)	(31.0, 193629.0)	(32.0, 254295.0)	(33.0, 335538.0)	(34.0, 481624.0)	(35.0, 755684.0)	(36.0, 1296364.0)	(37.0, 2273649.0)	(38.0, 3692343.0)	(39.0, 4986578.0)	(40.0, 5552269.0)
SRR1039512_1	(2.0, 2481.0)	(3.0, 1311.0)	(4.0, 2296.0)	(5.0, 3407.0)	(6.0, 6104.0)	(7.0, 10127.0)	(8.0, 13343.0)	(9.0, 16983.0)	(10.0, 17310.0)	(11.0, 19320.0)	(12.0, 21270.0)	(13.0, 22994.0)	(14.0, 25338.0)	(15.0, 26759.0)	(16.0, 29474.0)	(17.0, 32858.0)	(18.0, 36493.0)	(19.0, 41235.0)	(20.0, 47230.0)	(21.0, 54288.0)	(22.0, 62221.0)	(23.0, 71742.0)	(24.0, 83367.0)	(25.0, 97833.0)	(26.0, 116666.0)	(27.0, 141328.0)	(28.0, 171731.0)	(29.0, 212487.0)	(30.0, 265769.0)	(31.0, 334567.0)	(32.0, 431129.0)	(33.0, 565896.0)	(34.0, 790240.0)	(35.0, 1130382.0)	(36.0, 1757432.0)	(37.0, 2914203.0)	(38.0, 4661271.0)	(39.0, 6812842.0)	(40.0, 7084555.0)
SRR1039512_2	(2.0, 84040.0)	(3.0, 16162.0)	(4.0, 17196.0)	(5.0, 19113.0)	(6.0, 21233.0)	(7.0, 22179.0)	(8.0, 24508.0)	(9.0, 26686.0)	(10.0, 27566.0)	(11.0, 29659.0)	(12.0, 32002.0)	(13.0, 33792.0)	(14.0, 36000.0)	(15.0, 37338.0)	(16.0, 38719.0)	(17.0, 41160.0)	(18.0, 43444.0)	(19.0, 47664.0)	(20.0, 52082.0)	(21.0, 58472.0)	(22.0, 66136.0)	(23.0, 74514.0)	(24.0, 85735.0)	(25.0, 99754.0)	(26.0, 118212.0)	(27.0, 140206.0)	(28.0, 167077.0)	(29.0, 200853.0)	(30.0, 245701.0)	(31.0, 304237.0)	(32.0, 388149.0)	(33.0, 509646.0)	(34.0, 715594.0)	(35.0, 1034797.0)	(36.0, 1626068.0)	(37.0, 2750450.0)	(38.0, 4514734.0)	(39.0, 6678192.0)	(40.0, 7707212.0)
SRR1039513_1	(2.0, 1920.0)	(3.0, 940.0)	(4.0, 1608.0)	(5.0, 2476.0)	(6.0, 4559.0)	(7.0, 8059.0)	(8.0, 10496.0)	(9.0, 12706.0)	(10.0, 13208.0)	(11.0, 14783.0)	(12.0, 16120.0)	(13.0, 17746.0)	(14.0, 19559.0)	(15.0, 21025.0)	(16.0, 23601.0)	(17.0, 26308.0)	(18.0, 29181.0)	(19.0, 33679.0)	(20.0, 37941.0)	(21.0, 43947.0)	(22.0, 50424.0)	(23.0, 59064.0)	(24.0, 69217.0)	(25.0, 81769.0)	(26.0, 98844.0)	(27.0, 120486.0)	(28.0, 148233.0)	(29.0, 183535.0)	(30.0, 228105.0)	(31.0, 284963.0)	(32.0, 357204.0)	(33.0, 456631.0)	(34.0, 604252.0)	(35.0, 820095.0)	(36.0, 1177429.0)	(37.0, 1780030.0)	(38.0, 2647662.0)	(39.0, 3716287.0)	(40.0, 3598996.0)
SRR1039513_2	(2.0, 190233.0)	(3.0, 32827.0)	(4.0, 35953.0)	(5.0, 39721.0)	(6.0, 43540.0)	(7.0, 46824.0)	(8.0, 51073.0)	(9.0, 55804.0)	(10.0, 58977.0)	(11.0, 64715.0)	(12.0, 70338.0)	(13.0, 74466.0)	(14.0, 78804.0)	(15.0, 81017.0)	(16.0, 85486.0)	(17.0, 89393.0)	(18.0, 95282.0)	(19.0, 103439.0)	(20.0, 114028.0)	(21.0, 128183.0)	(22.0, 146570.0)	(23.0, 168395.0)	(24.0, 196061.0)	(25.0, 230424.0)	(26.0, 272112.0)	(27.0, 322676.0)	(28.0, 385476.0)	(29.0, 463245.0)	(30.0, 564838.0)	(31.0, 693076.0)	(32.0, 866414.0)	(33.0, 1103975.0)	(34.0, 1473198.0)	(35.0, 2004675.0)	(36.0, 2886802.0)	(37.0, 4385107.0)	(38.0, 6604362.0)	(39.0, 9254665.0)	(40.0, 9794290.0)
SRR1039516_1	(2.0, 2296.0)	(3.0, 1313.0)	(4.0, 2414.0)	(5.0, 3709.0)	(6.0, 6877.0)	(7.0, 12091.0)	(8.0, 16103.0)	(9.0, 20521.0)	(10.0, 20933.0)	(11.0, 23348.0)	(12.0, 25441.0)	(13.0, 28157.0)	(14.0, 31147.0)	(15.0, 33789.0)	(16.0, 37805.0)	(17.0, 42302.0)	(18.0, 47605.0)	(19.0, 54219.0)	(20.0, 61788.0)	(21.0, 70992.0)	(22.0, 82059.0)	(23.0, 94668.0)	(24.0, 110793.0)	(25.0, 129713.0)	(26.0, 155647.0)	(27.0, 189446.0)	(28.0, 232313.0)	(29.0, 288478.0)	(30.0, 357920.0)	(31.0, 449633.0)	(32.0, 570127.0)	(33.0, 738034.0)	(34.0, 995152.0)	(35.0, 1365580.0)	(36.0, 1984436.0)	(37.0, 2985659.0)	(38.0, 4416241.0)	(39.0, 6052057.0)	(40.0, 5558164.0)
SRR1039516_2	(2.0, 139767.0)	(3.0, 20484.0)	(4.0, 21994.0)	(5.0, 24135.0)	(6.0, 26299.0)	(7.0, 27460.0)	(8.0, 29763.0)	(9.0, 32473.0)	(10.0, 34697.0)	(11.0, 37737.0)	(12.0, 40742.0)	(13.0, 43660.0)	(14.0, 46631.0)	(15.0, 48046.0)	(16.0, 50864.0)	(17.0, 53720.0)	(18.0, 57036.0)	(19.0, 62781.0)	(20.0, 69819.0)	(21.0, 78398.0)	(22.0, 89606.0)	(23.0, 101611.0)	(24.0, 118283.0)	(25.0, 139514.0)	(26.0, 164878.0)	(27.0, 195999.0)	(28.0, 234302.0)	(29.0, 280017.0)	(30.0, 341143.0)	(31.0, 421436.0)	(32.0, 525616.0)	(33.0, 673120.0)	(34.0, 906897.0)	(35.0, 1252107.0)	(36.0, 1845654.0)	(37.0, 2873244.0)	(38.0, 4343939.0)	(39.0, 5970517.0)	(40.0, 5874581.0)
