Sample	Unique Reads	Duplicate Reads
SRR1039508_1	11399905.0	11535616.0
SRR1039508_2	11940417.0	10995104.0
SRR1039509_1	10663646.0	10492061.0
SRR1039509_2	11336161.0	9819546.0
SRR1039512_1	12235203.0	15901079.0
SRR1039512_2	12450898.0	15685384.0
SRR1039513_1	8645557.0	8177531.0
SRR1039513_2	17881310.0	25475154.0
SRR1039516_1	12222432.0	15076538.0
SRR1039516_2	12498181.0	14800789.0
SRR1039517_1	14732766.0	19565494.0
SRR1039517_2	15009489.0	19288771.0
SRR1039520_1	10661206.0	10614682.0
SRR1039520_2	10798402.0	10477486.0
SRR1039521_1	11201179.0	12286681.0
SRR1039521_2	11431929.0	12055931.0
