Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1039508_1	(1.0, 37.538608903884366)	(2.0, 12.574450363351684)	(3.0, 6.661440324001577)	(4.0, 4.124623748685067)	(5.0, 3.0533111859335844)	(6.0, 2.3628324462153047)	(7.0, 1.8948005945735333)	(8.0, 1.651728433282017)	(9.0, 1.3610301984236794)	('>10', 16.603483182577932)	('>50', 4.973933092196457)	('>100', 5.758805920233832)	('>500', 0.714409414353538)	('>1k', 0.2769286256311092)	('>5k', 0.0)	('>10k+', 0.44961356665638397)
SRR1039508_2	(1.0, 39.88755011880923)	(2.0, 12.67705838941407)	(3.0, 6.613308356414853)	(4.0, 4.289876896368216)	(5.0, 2.957811567441658)	(6.0, 2.3920523424377365)	(7.0, 1.8441056099223276)	(8.0, 1.530523647253229)	(9.0, 1.3268820889259898)	('>10', 16.15399403134183)	('>50', 4.4982968014091895)	('>100', 4.819778762167905)	('>500', 0.5455740524615063)	('>1k', 0.18738437307021888)	('>5k', 0.0378704134918975)	('>10k+', 0.23793254907015599)
SRR1039509_1	(1.0, 38.04506231652076)	(2.0, 12.708726626119649)	(3.0, 6.794011022148894)	(4.0, 4.304254485175319)	(5.0, 3.1388898470146462)	(6.0, 2.5461663061927395)	(7.0, 1.958151677600881)	(8.0, 1.6525749699260825)	(9.0, 1.3821885107468264)	('>10', 16.046333756447726)	('>50', 4.526787075794789)	('>100', 5.027724186825248)	('>500', 0.588297365491575)	('>1k', 0.26281285575547)	('>5k', 0.0)	('>10k+', 1.018018998239229)
SRR1039509_2	(1.0, 41.28066994230483)	(2.0, 12.933405219276322)	(3.0, 6.681833878366526)	(4.0, 4.321928328043875)	(5.0, 3.040211528901614)	(6.0, 2.3397091057085424)	(7.0, 1.892756015259373)	(8.0, 1.4953042073463712)	(9.0, 1.3972384209839288)	('>10', 15.339734206124477)	('>50', 4.040101328967954)	('>100', 4.156479065595633)	('>500', 0.4122170254417152)	('>1k', 0.10212182679089739)	('>5k', 0.02662062800351309)	('>10k+', 0.539669272884367)
SRR1039512_1	(1.0, 31.58862651105332)	(2.0, 11.618714311389294)	(3.0, 6.404887119409714)	(4.0, 4.2906407290394215)	(5.0, 3.2335609653433464)	(6.0, 2.5665990166487256)	(7.0, 2.0621124206093513)	(8.0, 1.769765094864519)	(9.0, 1.504070883018669)	('>10', 18.518198836783657)	('>50', 6.045405112221786)	('>100', 8.254135882344071)	('>500', 1.4196808236366214)	('>1k', 0.6704757396450189)	('>5k', 0.053126553992594396)	('>10k+', 0.0)
SRR1039512_2	(1.0, 32.500507211619045)	(2.0, 11.4742746648694)	(3.0, 6.46712509720416)	(4.0, 4.287935571520044)	(5.0, 3.17639865053742)	(6.0, 2.382506455798951)	(7.0, 1.9567265922190193)	(8.0, 1.6153564870558201)	(9.0, 1.4469809419022084)	('>10', 18.200658646516583)	('>50', 6.084266510060735)	('>100', 8.266979743163649)	('>500', 1.433321716541357)	('>1k', 0.6866728400599174)	('>5k', 0.020288870931870817)	('>10k+', 0.0)
SRR1039513_1	(1.0, 39.23383132214123)	(2.0, 12.321126093301979)	(3.0, 6.584264752723468)	(4.0, 4.406428138828678)	(5.0, 3.155337836448776)	(6.0, 2.4378025592168138)	(7.0, 1.9722475659017742)	(8.0, 1.6713914452920005)	(9.0, 1.3940579195891696)	('>10', 17.072395826061364)	('>50', 4.49965273861324)	('>100', 4.719731130567402)	('>500', 0.41771640542486294)	('>1k', 0.11401626588924245)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039513_2	(1.0, 29.578503085429414)	(2.0, 10.793083048280637)	(3.0, 6.471812689161152)	(4.0, 4.461279514573357)	(5.0, 3.2960289976704438)	(6.0, 2.656340475517645)	(7.0, 2.054536978478151)	(8.0, 1.8499669794666538)	(9.0, 1.602475200213782)	('>10', 19.48418004659524)	('>50', 6.300769557236588)	('>100', 9.079653444536314)	('>500', 1.5153064860412906)	('>1k', 0.8354661564900072)	('>5k', 0.02059734030928558)	('>10k+', 0.0)
SRR1039516_1	(1.0, 32.94488974889384)	(2.0, 11.510560336024211)	(3.0, 6.530979019208126)	(4.0, 4.482248183180899)	(5.0, 3.298152659238384)	(6.0, 2.4595371054529394)	(7.0, 1.9684503722046824)	(8.0, 1.7461923853730816)	(9.0, 1.4326232197026934)	('>10', 17.178544672924417)	('>50', 5.4730840829764755)	('>100', 8.186020311603915)	('>500', 1.5414139957007662)	('>1k', 1.0057648311151546)	('>5k', 0.05566285719373898)	('>10k+', 0.18587621920683536)
SRR1039516_2	(1.0, 34.07313915261253)	(2.0, 11.552140095262251)	(3.0, 6.399716468016667)	(4.0, 4.265056694423802)	(5.0, 3.284309889584755)	(6.0, 2.4220471367562415)	(7.0, 1.967833216239712)	(8.0, 1.6308404942904233)	(9.0, 1.3554814620720457)	('>10', 17.031685542916563)	('>50', 5.3935088987153)	('>100', 7.921678128319414)	('>500', 1.5138004167906962)	('>1k', 1.0298724582381962)	('>5k', 0.059858013145054685)	('>10k+', 0.09903193261643357)
SRR1039517_1	(1.0, 30.78458965874634)	(2.0, 11.482048445152996)	(3.0, 6.782087438654758)	(4.0, 4.611730164532406)	(5.0, 3.4542649317173275)	(6.0, 2.7288049030564787)	(7.0, 2.131114473533539)	(8.0, 1.8411798793154934)	(9.0, 1.5474527201746584)	('>10', 19.05075261639849)	('>50', 5.8310747896844415)	('>100', 7.968893404828395)	('>500', 1.2325471751279877)	('>1k', 0.5335128435464326)	('>5k', 0.019946555530217718)	('>10k+', 0.0)
SRR1039517_2	(1.0, 31.868692477866716)	(2.0, 11.100102312110282)	(3.0, 6.664717193071587)	(4.0, 4.626122375485743)	(5.0, 3.3401746164523543)	(6.0, 2.6592967586886993)	(7.0, 2.1372447141710706)	(8.0, 1.7544871528895298)	(9.0, 1.5261657633629708)	('>10', 19.11254293488506)	('>50', 5.631972679581975)	('>100', 7.762755754640368)	('>500', 1.265760472283115)	('>1k', 0.5499647945106332)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039520_1	(1.0, 38.00317744952632)	(2.0, 12.434272062347526)	(3.0, 6.637962156046548)	(4.0, 4.32506375390215)	(5.0, 3.026957665771969)	(6.0, 2.322546860034214)	(7.0, 1.825154658495508)	(8.0, 1.571180534862683)	(9.0, 1.3489355010654593)	('>10', 16.627216152663305)	('>50', 4.838544193611996)	('>100', 5.8909000735498225)	('>500', 0.8685322261942104)	('>1k', 0.2795567119282459)	('>5k', 0.0)	('>10k+', 0.0)
