gene_id	gene_name	SYMBOL	ENTREZID	baseMean	log2FoldChange	padj
ENSG00000162692.14	VCAM1	VCAM1	7412	498.867130868347	-3.59437169171568	3.71782861636342e-102
ENSG00000137809.19	ITGA11	ITGA11	22801	1238.6192856565	-1.71902540634264	1.74644075166102e-72
ENSG00000178695.6	KCTD12	KCTD12	115207	2693.78043058005	-2.50509202283454	5.29479761705124e-68
ENSG00000106484.17	MEST	MEST	4232	959.680476236023	-2.04985212201846	8.49235883311669e-66
ENSG00000148848.16	ADAM12	ADAM12	8038	1391.20771791697	-1.83526743736887	3.14278075517693e-64
ENSG00000108821.16	COL1A1	COL1A1	1277	103433.14110343	-1.2831014666595	7.37891504613629e-63
ENSG00000145685.16	LHFPL2	LHFPL2	10184	2060.63470128502	-1.21708860246165	3.00096642433601e-61
ENSG00000116584.24	ARHGEF2	ARHGEF2	9181	2311.2515123486	-1.10129804812309	1.30272526216839e-56
ENSG00000146250.9	PRSS35	PRSS35	167681	315.316040120013	-2.71193364953153	1.73661026851693e-56
ENSG00000172986.14	GXYLT2	GXYLT2	727936	869.951423160237	-1.60229658175614	1.73661026851693e-56
ENSG00000163394.6	CCKAR	CCKAR	886	1195.97522606741	-2.18392101891442	2.55518637378772e-56
ENSG00000124766.7	SOX4	SOX4	6659	1320.19337991142	-2.38267772579744	3.9378240274968e-54
ENSG00000107562.19	CXCL12	CXCL12	6387	28018.1900158669	-1.81348323327877	7.87229288766172e-47
ENSG00000227051.8	C14orf132	C14orf132	56967	4694.70048495055	-1.11011677175632	1.56283309445813e-46
ENSG00000103742.14	IGDCC4	IGDCC4	57722	372.194865092174	-2.24112896716197	8.92292382911361e-43
ENSG00000139289.16	PHLDA1	PHLDA1	22822	2852.95643195318	-1.05575519644967	8.39949334924102e-41
ENSG00000138735.18	PDE5A	PDE5A	8654	7677.91674210852	-1.16386631931724	6.78782003932724e-39
ENSG00000130513.8	GDF15	GDF15	9518	472.857093042997	-1.92632937836302	2.05802286491157e-37
ENSG00000138316.13	ADAMTS14	ADAMTS14	140766	776.409838107647	-2.47521990483363	6.62779627171908e-37
ENSG00000105989.12	WNT2	WNT2	7472	384.598056209389	-2.94920341716916	7.35689306853547e-37
ENSG00000126785.15	RHOJ	RHOJ	57381	717.974260423545	-1.27875015314422	2.02654898155789e-36
ENSG00000131389.20	SLC6A6	SLC6A6	6533	745.410737895916	-1.98935763318487	2.99527282603288e-36
ENSG00000112837.18	TBX18	TBX18	9096	2710.34580432989	-1.67171437180314	5.95514344276816e-36
ENSG00000033867.20	SLC4A7	SLC4A7	9497	2579.63048678938	-1.17746471977178	2.66434282767905e-35
ENSG00000075213.13	SEMA3A	SEMA3A	10371	740.213257726096	-1.29665595413306	7.12601925399776e-35
ENSG00000101825.9	MXRA5	MXRA5	25878	4825.40016050585	-1.28562573851751	1.09325895956111e-34
ENSG00000136999.7	CCN3	CCN3	4856	447.295380057867	-2.56365731288857	5.13670584419623e-32
ENSG00000134363.14	FST	FST	10468	2800.06964496241	-1.53554466649625	6.76237403151282e-31
ENSG00000196517.15	SLC6A9	SLC6A9	6536	253.026210758287	-2.27183596891342	7.89681544065901e-31
ENSG00000177614.13	PGBD5	PGBD5	79605	168.222426128563	-3.06577335710352	1.26049156485913e-30
ENSG00000126016.18	AMOT	AMOT	154796	385.521585759569	-2.29011332476003	1.02340234660987e-29
ENSG00000167552.18	TUBA1A	TUBA1A	7846	8828.57176263688	-1.28896161031535	3.69580671205352e-28
ENSG00000163491.20	NEK10	NEK10	152110	221.117463491272	-2.71150325971494	3.38923536968399e-27
ENSG00000103485.21	QPRT	QPRT	23475	896.975379323547	-1.15833623818483	1.30050311881216e-26
ENSG00000277443.5	MARCKS	MARCKS	4082	5769.80565781765	-1.13848082880429	2.42721106090585e-26
ENSG00000143320.11	CRABP2	CRABP2	1382	1509.89112292132	-1.61229573065173	1.36304816028278e-25
ENSG00000168398.9	BDKRB2	BDKRB2	624	6363.22884053485	-2.0517958073392	4.97576200494501e-25
ENSG00000181467.5	RAP2B	RAP2B	5912	679.813125887013	-1.23274961545691	1.67956124567281e-24
ENSG00000214814.8	FER1L6	FER1L6	654463	338.043055533832	-3.00342309964089	1.21390352930847e-23
ENSG00000144369.16	FAM171B	FAM171B	165215	1347.35138159478	-1.32653596401323	1.31922167951554e-23
ENSG00000145777.15	TSLP	TSLP	85480	153.454528158063	-2.80034260104143	2.05808957185934e-22
ENSG00000183160.11	TMEM119	TMEM119	338773	3065.67675997281	-1.16561431037225	2.37904777962405e-22
ENSG00000128606.14	LRRC17	LRRC17	10234	1274.89036103224	-2.44474551197997	6.17321558019264e-22
ENSG00000127824.17	TUBA4A	TUBA4A	7277	250.430889940285	-1.66782044228248	8.0856342889272e-22
