ENSEMBL	ENTREZID	SYMBOL
ENSG00000162614	91624	NEXN
ENSG00000109906	7704	ZBTB16
ENSG00000120129	1843	DUSP1
ENSG00000134243	6272	SORT1
ENSG00000162692	7412	VCAM1
ENSG00000101347	25939	SAMHD1
ENSG00000125148	4502	MT2A
ENSG00000154734	9510	ADAMTS1
ENSG00000196136	12	SERPINA3
ENSG00000189221	4128	MAOA
ENSG00000157214	261729	STEAP2
ENSG00000211445	2878	GPX3
ENSG00000165995	783	CACNB2
ENSG00000162493	10630	PDPN
ENSG00000152583	8404	SPARCL1
ENSG00000179094	5187	PER1
ENSG00000157150	7079	TIMP4
ENSG00000137809	22801	ITGA11
ENSG00000102804	8848	TSC22D1
ENSG00000178695	115207	KCTD12
ENSG00000119139	9414	TJP2
ENSG00000163661	5806	PTX3
ENSG00000106484	4232	MEST
ENSG00000124762	1026	CDKN1A
ENSG00000148848	8038	ADAM12
ENSG00000198624	26112	CCDC69
ENSG00000108821	1277	COL1A1
ENSG00000162616	11080	DNAJB4
ENSG00000145685	10184	LHFPL2
ENSG00000154930	84532	ACSS1
ENSG00000163431	25802	LMOD1
ENSG00000136478	55852	TEX2
ENSG00000253368	388610	TRNP1
ENSG00000139132	121512	FGD4
ENSG00000163884	28999	KLF15
ENSG00000162407	8613	PLPP3
ENSG00000116584	9181	ARHGEF2
ENSG00000146250	167681	PRSS35
ENSG00000172986	727936	GXYLT2
ENSG00000163394	886	CCKAR
ENSG00000262655	10418	SPON1
ENSG00000106123	2051	EPHB6
ENSG00000124766	6659	SOX4
ENSG00000125868	11034	DSTN
ENSG00000166741	4837	NNMT
ENSG00000145390	54532	USP53
ENSG00000148175	2040	STOM
ENSG00000147027	83604	TMEM47
ENSG00000070404	10272	FSTL3
ENSG00000163083	3625	INHBB
ENSG00000116285	54206	ERRFI1
ENSG00000107562	6387	CXCL12
ENSG00000227051	56967	C14orf132
ENSG00000133142	79921	TCEAL4
ENSG00000164647	26872	STEAP1
ENSG00000099337	9424	KCNK6
ENSG00000068383	3632	INPP5A
ENSG00000221869	1052	CEBPD
ENSG00000103742	57722	IGDCC4
ENSG00000187193	4501	MT1X
ENSG00000197381	104	ADARB1
ENSG00000127954	79689	STEAP4
ENSG00000185432	25840	TMT1A
ENSG00000139289	22822	PHLDA1
ENSG00000196569	3908	LAMA2
ENSG00000134686	1912	PHC2
ENSG00000131831	10742	RAI2
ENSG00000126803	3306	HSPA2
ENSG00000128923	54629	MINDY2
ENSG00000138735	8654	PDE5A
ENSG00000180914	5021	OXTR
ENSG00000123562	9643	MORF4L2
ENSG00000122035	387496	RASL11A
ENSG00000196975	307	ANXA4
ENSG00000130513	9518	GDF15
ENSG00000138316	140766	ADAMTS14
ENSG00000105989	7472	WNT2
ENSG00000077684	79960	JADE1
ENSG00000126785	57381	RHOJ
ENSG00000131389	6533	SLC6A6
ENSG00000109861	1075	CTSC
