ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0051962	positive regulation of nervous system development	26/365	219/12778	0.118721461187215	4.15622693438419	8.07858410643098	7.25276504362603e-10	2.6298526048188e-06	2.0460431912545e-06	CXCL12/WNT2/CRABP2/EPHB2/FLRT3/LRRC15/LIF/RND2/ROBO1/LRRTM2/SMO/EPHB3/VEGFA/CDON/SLITRK6/IL34/SLC7A5/RTN4RL2/NGF/EGR2/ZNF365/LRRN1/ELL3/ZNF488/TENM4/LRRN3	26
GO:0051960	regulation of nervous system development	32/365	341/12778	0.093841642228739	3.28522877917487	7.33451766670186	3.17780480299131e-09	5.76136010782325e-06	4.48237730106143e-06	CXCL12/IGDCC4/WNT2/CRABP2/EPHB2/FLRT3/LRRC15/LIF/DUSP10/RND2/FGF13/ROBO1/LRRTM2/SMO/SEMA6D/EPHB3/VEGFA/CDON/SLITRK6/IL34/SLC7A5/RTN4RL2/NGF/EGR2/ZNF365/LRRN1/PER2/ELL3/ZNF488/TENM4/LRRN3/CCL11	32
GO:0061564	axon development	33/365	401/12778	0.0822942643391521	2.88097564308407	6.56251281730278	4.56945624283688e-08	4.6799584634091e-05	3.64103947569785e-05	CCKAR/CXCL12/SEMA3A/CRABP2/EPHB2/FLRT3/ADCY1/TUBB3/RND2/RPS6KA5/PLEKHG4/CYFIP2/FGF13/ROBO1/JUN/PAK3/SCN1B/SMO/SEMA6D/EPHB3/VEGFA/KIAA1755/VASH2/SLITRK6/TGFB2/PLPPR4/SPTBN4/RTN4RL2/NGF/EGR2/FGFR2/EPHA5/LGI1	33
GO:2000027	regulation of animal organ morphogenesis	12/365	57/12778	0.210526315789474	7.37015140591204	8.26511799847643	5.47208885642887e-08	4.6799584634091e-05	3.64103947569785e-05	WNT2/FGF10/TNFRSF11B/LGR4/RSPO2/ROBO1/SOX9/HGF/SMO/VEGFA/AGT/SFRP2	12
GO:0006935	chemotaxis	28/365	311/12778	0.090032154340836	3.15186539223891	6.58774557107626	7.74400186995439e-08	4.6799584634091e-05	3.64103947569785e-05	VCAM1/CXCL12/SEMA3A/CCN3/AMOT/FLRT3/FGF10/S1PR1/TNFAIP6/ROBO1/HGF/ENPP2/ACKR4/SEMA6D/VEGFA/IL12A/TGFB2/IL34/NRG1/CCL8/CXCL16/EGR3/LGALS9/CH25H/LSP1/CCL7/TNFRSF11A/CCL11	28
GO:0042330	taxis	28/365	311/12778	0.090032154340836	3.15186539223891	6.58774557107626	7.74400186995439e-08	4.6799584634091e-05	3.64103947569785e-05	VCAM1/CXCL12/SEMA3A/CCN3/AMOT/FLRT3/FGF10/S1PR1/TNFAIP6/ROBO1/HGF/ENPP2/ACKR4/SEMA6D/VEGFA/IL12A/TGFB2/IL34/NRG1/CCL8/CXCL16/EGR3/LGALS9/CH25H/LSP1/CCL7/TNFRSF11A/CCL11	28
GO:0007409	axonogenesis	30/365	356/12778	0.0842696629213483	2.95013082961367	6.39904974904391	1.14461839094155e-07	5.92912326507725e-05	4.61289817702762e-05	CCKAR/CXCL12/SEMA3A/CRABP2/EPHB2/FLRT3/ADCY1/TUBB3/RND2/RPS6KA5/PLEKHG4/CYFIP2/FGF13/ROBO1/PAK3/SCN1B/SMO/SEMA6D/EPHB3/VEGFA/KIAA1755/SLITRK6/TGFB2/PLPPR4/SPTBN4/NGF/EGR2/FGFR2/EPHA5/LGI1	30
GO:0003013	circulatory system process	34/365	450/12778	0.0755555555555556	2.64506544901065	6.09208041028071	2.22210864041931e-07	9.42181106268127e-05	7.33023300954679e-05	CXCL12/SLC6A6/TBX18/SLC6A9/AMOT/BDKRB2/SGCD/POSTN/BDKRB1/CLIC2/NEDD4L/FGF13/CORO2B/ADM2/ANK2/SCN1B/KCNE3/VEGFA/AGT/RGS4/RAMP3/TGFB2/ARHGAP42/CACNA1G/SLC7A5/IER3/ADRA2A/SPTBN4/PTP4A3/ADORA1/PTGS2/WNK4/PER2/HSD11B2	34
GO:0010720	positive regulation of cell development	28/365	329/12778	0.0851063829787234	2.97942290877295	6.23723072639475	2.51014987347811e-07	9.42181106268127e-05	7.33023300954679e-05	SOX4/CXCL12/WNT2/CRABP2/EPHB2/LIF/DUSP10/RND2/ROBO1/SOCS1/SMO/EEIG1/VEGFA/GPR68/CDON/IL34/SLC7A5/EGR3/LGALS9/NGF/EGR2/ZNF365/ELL3/INPP5D/ZNF488/TNFSF9/TENM4/TNFRSF11A	28
GO:0030335	positive regulation of cell migration	34/365	453/12778	0.0750551876379691	2.62754845928211	6.0480039655759	2.59840349219009e-07	9.42181106268127e-05	7.33023300954679e-05	COL1A1/ARHGEF2/CXCL12/RHOJ/SEMA3A/AMOT/EPHB2/LRRC15/FGF10/S1PR1/PRKCE/PIK3R3/POSTN/BDKRB1/TNFAIP6/SOX9/HGF/ENPP2/JUN/SMO/SEMA6D/HMOX1/VEGFA/AGT/IL12A/TGFB2/IL34/CCL8/CXCL16/ADRA2A/LGALS9/PTGS2/CCL7/CCL11	34
