gene_id	gene_name	SYMBOL	ENTREZID	baseMean	log2FoldChange	padj
ENSG00000162614.21	NEXN	NEXN	91624	5782.09614439021	1.9807086154724	2.86838783290279e-139
ENSG00000109906.17	ZBTB16	ZBTB16	7704	999.951726186938	6.09739768279989	1.19239410529852e-138
ENSG00000120129.8	DUSP1	DUSP1	1843	3500.65162504364	2.97144242585198	6.17458462508478e-128
ENSG00000134243.14	SORT1	SORT1	6272	5559.45456711846	2.14412289555501	8.40269881594408e-109
ENSG00000101347.13	SAMHD1	SAMHD1	25939	14435.5355874029	3.76224224308951	1.92406327079476e-101
ENSG00000125148.9	MT2A	MT2A	4502	3736.67139172929	2.22708445871858	1.06904969221792e-100
ENSG00000154734.18	ADAMTS1	ADAMTS1	9510	30677.5776971371	2.33503478950827	2.27490967231415e-100
ENSG00000196136.20	SERPINA3	SERPINA3	12	2884.92799253261	3.23370882752618	1.74339963670573e-98
ENSG00000189221.13	MAOA	MAOA	4128	2479.16024282969	3.47364249082889	3.13697839873398e-98
ENSG00000157214.16	STEAP2	STEAP2	261729	3153.27312594767	2.06199234237139	2.40658036691551e-94
ENSG00000211445.14	GPX3	GPX3	2878	12732.2285774895	3.77661660286304	6.18338734027427e-92
ENSG00000165995.25	CACNB2	CACNB2	783	629.955955730289	3.32893221431587	1.0424315436147e-84
ENSG00000162493.19	PDPN	PDPN	10630	1113.03613359865	1.83176118859146	2.20023463668188e-83
ENSG00000152583.15	SPARCL1	SPARCL1	8404	1012.18658861148	4.54657922800112	2.73577793858474e-83
ENSG00000179094.19	PER1	PER1	5187	789.18127182908	3.02864188132827	1.05472310611543e-80
ENSG00000157150.7	TIMP4	TIMP4	7079	379.272694627644	2.87806629481042	8.09364362530766e-76
ENSG00000102804.18	TSC22D1	TSC22D1	8848	5594.73234212149	1.22146147632945	6.66344874250679e-69
ENSG00000119139.23	TJP2	TJP2	9414	5839.82315609322	2.04358113880552	1.76024409907627e-66
ENSG00000163661.6	PTX3	PTX3	5806	10045.4891590959	2.28967170421379	5.17947338647386e-66
ENSG00000198624.15	CCDC69	CCDC69	26112	2108.59511562471	2.93465181927457	3.23952335873546e-63
ENSG00000162616.11	DNAJB4	DNAJB4	11080	1532.49731603585	1.39669529593718	1.95451565235503e-62
ENSG00000154930.17	ACSS1	ACSS1	84532	692.538637072728	1.88715871438367	1.32168064891414e-59
ENSG00000163431.16	LMOD1	LMOD1	25802	6979.1426476562	1.18585230897315	3.89578639844637e-59
ENSG00000136478.11	TEX2	TEX2	55852	3767.98288707355	1.48096413411455	6.27771121995714e-59
ENSG00000253368.6	TRNP1	TRNP1	388610	1108.65154545163	2.01764021729653	1.13091825713044e-58
ENSG00000139132.17	FGD4	FGD4	121512	1227.44997241257	2.10566535785277	1.82988593782468e-58
ENSG00000163884.6	KLF15	KLF15	28999	616.733057223271	4.48268466837714	5.33238224239297e-58
ENSG00000262655.6	SPON1	SPON1	10418	1676.6995822675	1.76707208302763	5.23018938848659e-56
ENSG00000106123.15	EPHB6	EPHB6	2051	833.005048209396	1.67724454808083	3.78069938356731e-54
ENSG00000166741.11	NNMT	NNMT	4837	7688.70112074064	2.22496592128566	1.36169784194926e-53
ENSG00000145390.14	USP53	USP53	54532	8682.16715220253	2.20756707359637	3.64974512275426e-53
ENSG00000148175.15	STOM	STOM	2040	13738.0710747795	1.40773632315366	3.64974512275426e-53
ENSG00000147027.6	TMEM47	TMEM47	83604	12859.5780955324	1.18958376997285	1.65462505092728e-51
ENSG00000070404.12	FSTL3	FSTL3	10272	1850.07208630673	1.74858602015924	9.5276054101592e-51
ENSG00000163083.7	INHBB	INHBB	3625	441.410607810614	3.48887031896237	9.67905055594041e-48
ENSG00000116285.15	ERRFI1	ERRFI1	54206	3403.08903670369	2.44684548701782	4.95630722258944e-47
ENSG00000133142.21	TCEAL4	TCEAL4	79921	3156.71926188938	1.4981564196831	2.84903165337133e-44
ENSG00000164647.11	STEAP1	STEAP1	26872	1929.8345294104	1.56234183733833	6.04148676478954e-44
ENSG00000099337.7	KCNK6	KCNK6	9424	1018.38212184564	2.73250652161429	7.10820328681863e-44
ENSG00000068383.21	INPP5A	INPP5A	3632	1452.82718700113	1.39376624774748	1.74450762456242e-43
