gene_id	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
ENSG00000000003.18	723.407	487.039	925.437	433.546	1221.497	1117.178	824.504	621.302
ENSG00000000005.7	0	0	0	0	0	0	1.017	0
ENSG00000000419.16	540.672	569.36	700.175	394.413	676.732	921.009	477.615	567.13
ENSG00000000457.16	325.578	289.237	403.73	225.188	393.656	479.271	324.759	307.291
ENSG00000000460.19	145.33	104.538	104.932	73.409	138.643	133.167	134.996	110.467
ENSG00000000938.15	1.052	1.207	3.613	0	2.761	1	1.803	0
ENSG00000000971.19	3372.064	3845.798	6213.92	4319.088	6794.758	11174.781	5120.694	7992.512
ENSG00000001036.16	2469.365	1717.187	2838.132	1415.003	2353.059	2339.224	2247.385	1847.52
ENSG00000001084.15	564.935	409.458	653.62	536.789	894.54	768.632	734.075	767.72
ENSG00000001167.17	530.923	342.978	608.875	242.526	856.529	769.341	478.859	368.543
ENSG00000001460.20	184.084	185.591	301.576	137.208	256.453	238.62	182.821	182.151
ENSG00000001461.21	2333.525	2071.121	5579.629	2908.416	3015.636	2985.611	2735.519	3230.51
ENSG00000001497.20	557.674	518.914	683.613	392.251	722.714	863.862	528.271	507.717
ENSG00000001561.9	73	52	213.999	160.672	23	38	139.076	178.128
ENSG00000001617.14	554.005	397.001	914.578	426.327	733.841	705.049	622.13	603.349
ENSG00000001626.20	10	4	12	4	13.836	5	5	6
ENSG00000001629.12	1711.853	1299.035	2317.485	1097.343	2518.143	2576.699	1938.784	1713.871
ENSG00000001630.20	1000.143	784.945	1132.899	567.463	1424.836	1297.761	831.813	825.188
ENSG00000001631.19	800.83	744.81	1028.505	489.045	1040.989	1209.978	735.41	837.356
ENSG00000002016.20	224.297	191.724	287.51	129.145	304.598	293.662	189.49	161.938
ENSG00000002330.16	769.775	671.052	808.884	423.389	768.129	989.689	625.203	675.271
ENSG00000002549.15	1487.183	1307.747	1336.811	1015.397	1471.614	1849.279	866.333	1044.567
ENSG00000002586.22	7651.907	7379.383	9657.81	6383.604	11150.611	13060.766	6994.067	7464.847
ENSG00000002587.12	2.471	0	3.072	0	0	3.557	0	0
ENSG00000002726.23	1.002	0.893	2.222	0	1.993	0	1.009	0
ENSG00000002745.14	4	6	21	10	2	1	4	3
ENSG00000002746.17	168.29	158.181	130.665	74.906	99.112	121.392	99.751	128.508
ENSG00000002822.18	414.001	305.001	448.941	197	447.105	522.52	291.286	306.71
ENSG00000002834.21	7566.116	7583.432	9248.855	7165.359	8013.684	14276.491	6940.084	9378.026
ENSG00000002919.17	248.282	265.657	325.474	233.627	237.405	414.607	193.954	283.284
ENSG00000002933.11	1274.852	1531.499	658.999	436.938	25.131	26	73.932	112.821
ENSG00000003056.10	1920.996	1616.715	2041.325	1267.16	2084.123	2520.409	1565.287	1582.878
ENSG00000003096.17	609.139	341.988	606.576	180	554.665	323.991	548.908	250
ENSG00000003137.10	131	62	273	63	32	53	205.048	74
ENSG00000003147.21	2.228	1.794	1.621	1.924	3.001	5.955	2.015	1
ENSG00000003249.17	86.001	71	221.12	81.043	111	123.189	164.315	131
ENSG00000003393.18	845.994	788.456	873.923	614.311	1229.868	1639.063	829.478	932.479
ENSG00000003400.18	104.781	69.357	141.386	83.848	65.227	58.312	103.828	73.771
ENSG00000003402.23	1867.751	3447.293	2291.666	3073.336	3101.767	6713.168	1703.73	4824.639
ENSG00000003436.18	4893.861	4624.745	6497.526	3553.43	8225.037	5633.874	3807.291	3729.11
ENSG00000003509.18	326.925	320.03	425.093	220.196	456.246	472.749	319.794	294.622
ENSG00000003756.19	3302.369	2359.245	3759.836	1826.298	3706.023	3595.062	2770.929	2851.181
