index	gene_ids
MIR1302-10	ENSG00000243485
FAM138A	ENSG00000237613
OR4F5	ENSG00000186092
RP11-34P13.7	ENSG00000238009
RP11-34P13.8	ENSG00000239945
AL627309.1	ENSG00000237683
RP11-34P13.14	ENSG00000239906
RP11-34P13.9	ENSG00000241599
AP006222.2	ENSG00000228463
RP4-669L17.10	ENSG00000237094
OR4F29	ENSG00000235249
RP4-669L17.2	ENSG00000236601
RP5-857K21.15	ENSG00000236743
RP5-857K21.1	ENSG00000231709
RP5-857K21.2	ENSG00000235146
RP5-857K21.3	ENSG00000239664
RP5-857K21.4	ENSG00000230021
RP5-857K21.5	ENSG00000223659
OR4F16	ENSG00000185097
RP11-206L10.3	ENSG00000235373
