index	gene_ids	mt	n_cells	highly_variable	means	dispersions	dispersions_norm
TNFRSF4	ENSG00000186827	False	155	True	0.2774102699660046	2.086049617490299	0.66540575
CPSF3L	ENSG00000127054	False	202	True	0.3851940843070057	4.506987434052159	2.9550052
ATAD3C	ENSG00000215915	False	9	True	0.03825194421813732	3.9534863330187817	4.3526073
C1orf86	ENSG00000162585	False	501	True	0.6782825334307869	2.713521595429261	0.5431829
RER1	ENSG00000157916	False	608	True	0.8148132255246746	3.4475328397844183	1.5825284
TNFRSF25	ENSG00000215788	False	170	True	0.3026147508656219	3.1955349051462436	1.2742782
TNFRSF9	ENSG00000049249	False	11	True	0.032145261823337386	2.6910450594078092	1.8599523
CTNNBIP1	ENSG00000178585	False	169	True	0.30704205915862176	4.213910758455696	2.5794048
SRM	ENSG00000116649	False	355	True	0.5228836121318852	2.7646891000370895	0.72211623
UBIAD1	ENSG00000120942	False	111	True	0.2031720224864576	3.0425255692640776	2.5539408
DRAXIN	ENSG00000162490	False	7	True	0.019679831030857225	2.144287442140704	0.78039473
TNFRSF1B	ENSG00000028137	False	379	True	0.5759391953212255	3.662347214750242	1.8867012
PRDM2	ENSG00000116731	False	177	True	0.2913038349523654	2.6191187543798256	0.5355567
EFHD2	ENSG00000142634	False	523	True	0.7460889069500953	2.6913765915363963	0.51182604
DDI2	ENSG00000197312	False	37	True	0.09750420814000002	4.01990228252597	4.4837437
SPEN	ENSG00000065526	False	74	True	0.12181312918712492	2.223668994811796	0.9371314
SDHB	ENSG00000117118	False	581	True	0.8620226466672277	4.574565626580587	3.3339689
CAPZB	ENSG00000077549	False	1500	True	1.6460020447991166	3.1838219143554367	1.2138814
CAMK2N1	ENSG00000162545	False	7	True	0.03315691899137507	3.7511881402306755	3.9531753
CDA	ENSG00000158825	False	393	True	0.7022519890177715	3.0924037488790903	1.0796726
C1QA	ENSG00000173372	False	36	True	0.09877233225572704	2.7451013740076533	1.966685
C1QC	ENSG00000159189	False	5	True	0.015770294325194986	2.4815913970523744	1.4463919
C1QB	ENSG00000173369	False	17	True	0.06421010093816143	2.981609305601979	2.4336634
ZNF436	ENSG00000125945	False	6	True	0.04020340992171975	4.383702194689365	5.2020564
MDS2	ENSG00000197880	False	53	True	0.11188087808125027	2.7277857358466227	1.9324958
PITHD1	ENSG00000057757	False	365	True	0.5528280881167547	3.5303118428164435	1.7033205
HMGCL	ENSG00000117305	False	137	True	0.2665406245384316	4.146621565215324	4.7339473
TMEM50A	ENSG00000183726	False	716	True	0.940435336453724	3.329199246262407	1.3929011
LDLRAP1	ENSG00000157978	False	338	True	0.5838087483523491	4.3972729133729445	2.9273415
RP11-70P17.1	ENSG00000225643	False	27	True	0.0520464811650269	2.4816184516125457	1.4464453
STMN1	ENSG00000117632	False	196	True	0.3838171409437039	2.761419902742194	0.7179265
PDIK1L	ENSG00000175087	False	30	True	0.1062821371095572	4.551376642001031	5.533125
ZNF593	ENSG00000142684	False	167	True	0.27111709738592016	3.129064212937878	2.724809
TMEM222	ENSG00000186501	False	167	True	0.2778932765947135	2.6243358992373067	1.728237
PPP1R8	ENSG00000117751	False	159	True	0.26290702493574725	2.604968967740036	1.6899976
PTAFR	ENSG00000169403	False	77	True	0.13799767552704909	2.6036153286501484	1.6873248
PHACTR4	ENSG00000204138	False	100	True	0.24939603930741594	3.8923276245585234	4.231851
SNHG12	ENSG00000197989	False	140	True	0.23145295220949003	2.3596207000609	1.2055643
TAF12	ENSG00000120656	False	380	True	0.572926284747383	3.0174405549389887	0.9735262
YTHDF2	ENSG00000198492	False	337	True	0.5131828045659884	2.902811405998681	0.8991305
PUM1	ENSG00000134644	False	89	True	0.15875172933705597	2.738921391322532	1.9544828
SPOCD1	ENSG00000134668	False	3	True	0.019166096499838258	3.317401885742824	3.0966763
TMEM234	ENSG00000160055	False	51	True	0.10023271758286428	2.184384129214266	0.85956454
HDAC1	ENSG00000116478	False	421	True	0.6558190375659798	3.6387779971155987	1.8533278
MARCKSL1	ENSG00000175130	False	493	True	0.752036893721821	3.0849121538686104	1.0690646
SMIM12	ENSG00000163866	False	317	True	0.47365112978949075	3.4077672006745745	1.5462701
AGO4	ENSG00000134698	False	30	True	0.06644385010066715	3.063131159872118	2.594626
TRAPPC3	ENSG00000054116	False	441	True	0.6569952205143854	3.5491817779331987	1.7264613
EVA1B	ENSG00000142694	False	23	True	0.06613530054646309	3.9845516389468596	4.4139447
RRAGC	ENSG00000116954	False	158	True	0.31021818673545576	3.8810032033431687	2.1527584
PPIE	ENSG00000084072	False	325	True	0.5094191533332081	3.148090794595238	1.2134749
TRIT1	ENSG00000043514	False	36	True	0.08630997184632311	3.975263498313835	4.3956056
PPT1	ENSG00000131238	False	516	True	0.7161291964706522	2.920530483874578	0.8363034
SMAP2	ENSG00000084070	False	434	True	0.6240381237137868	3.4341121656422997	1.563525
ZFP69	ENSG00000187815	False	26	True	0.04921612946555193	2.016478063870456	0.5280387
CITED4	ENSG00000179862	False	87	True	0.1530442272398433	2.454183570142325	1.3922759
C1orf50	ENSG00000164008	False	149	True	0.24816298597511074	2.3566884295173254	1.1997745
EBNA1BP2	ENSG00000117395	False	228	True	0.35451412658285253	2.6682501699131	0.59852237
ST3GAL3	ENSG00000126091	False	26	True	0.05123491429015377	2.0288153987057385	0.5523984
DMAP1	ENSG00000178028	False	168	True	0.26348642711132564	2.86927730449305	2.2118669
ERI3	ENSG00000117419	False	175	True	0.32688282841682115	4.571433329843758	3.0375974
PRDX1	ENSG00000117450	False	822	True	1.063935332685183	3.123660190939223	1.0725414
FAAH	ENSG00000117480	False	68	True	0.12292612183042217	2.619372027475434	1.718436
ATPAF1	ENSG00000123472	False	158	True	0.24435398128458172	2.0057265074153063	0.50681007
EFCAB14	ENSG00000159658	False	148	True	0.23290042293429494	2.7948595977253103	2.0649312
PDZK1IP1	ENSG00000162366	False	6	True	0.029020352864011206	2.7870894877955403	2.0495894
TAL1	ENSG00000162367	False	3	True	0.015462271996719904	3.4604277573226003	3.379077
SPATA6	ENSG00000132122	False	18	True	0.03332424757217873	2.0928275478061953	0.6787886
ZCCHC11	ENSG00000134744	False	161	True	0.2635532201629797	2.1718913713043704	0.83489794
SCP2	ENSG00000116171	False	735	True	0.9403138065421188	3.478531034344587	1.6256543
HSPB11	ENSG00000081870	False	190	True	0.35286179469025997	4.326912272064816	2.724225
SSBP3	ENSG00000157216	False	85	True	0.16235917231940117	3.4452745456368463	3.3491573
ACOT11	ENSG00000162390	False	8	True	0.014373546174681243	2.023622553900401	0.5421453
PARS2	ENSG00000162396	False	7	True	0.017921600730245506	2.530529329391213	1.5430186
ATG4C	ENSG00000125703	False	87	True	0.14584709471641588	2.0505107756263032	0.59523535
PGM1	ENSG00000079739	False	97	True	0.2294754727562023	4.057712607828596	4.558399
LRRIQ3	ENSG00000162620	False	9	True	0.10002345524482786	5.439986565128871	7.2876606
ACADM	ENSG00000117054	False	213	True	0.3384796140889387	2.873131982659846	0.8610941
USP33	ENSG00000077254	False	122	True	0.21378714934104073	2.5195312168720423	1.521303
IFI44	ENSG00000137965	False	295	True	0.4484665463538629	2.8198137661106917	0.7927627
RP5-887A10.1	ENSG00000234184	False	36	True	0.0890959024899922	2.2584157922444192	1.005738
PRKACB	ENSG00000142875	False	126	True	0.2110614154700939	2.581201399435223	1.6430691
SH3GLB1	ENSG00000097033	False	379	True	0.6006877000217097	3.4824464230018384	1.6319653
PKN2	ENSG00000065243	False	89	True	0.1657972165719164	2.7559468181851896	1.9880991
GTF2B	ENSG00000137947	False	265	True	0.42099032044175344	3.2639054766712303	1.3619003
GBP1	ENSG00000117228	False	287	True	0.47162275933733155	3.544431300636142	1.7214156
GBP4	ENSG00000162654	False	150	True	0.2551987706920664	3.0424093702854	2.5537114
LRRC8C	ENSG00000171488	False	76	True	0.13280702396106864	2.179491905452619	0.84990495
TMED5	ENSG00000117500	False	244	True	0.37344040250594396	3.786584139606438	2.031753
RP11-421L21.3	ENSG00000233184	False	53	True	0.1100992095872499	3.19469918104551	2.8544033
HENMT1	ENSG00000162639	False	122	True	0.21808516958721472	2.488308530085712	1.4596547
TMEM167B	ENSG00000215717	False	166	True	0.25716907837401004	2.014902807636391	0.5249284
SARS	ENSG00000031698	False	377	True	0.555725998275181	2.8470810887602878	0.8277079
LAMTOR5	ENSG00000134248	False	752	True	0.9291093413644538	3.0404230223560123	0.94280523
DRAM2	ENSG00000156171	False	435	True	0.6147207523789192	3.2304046306196494	1.2750791
CEPT1	ENSG00000134255	False	153	True	0.2677243559486607	2.646496739557904	1.7719929
DENND2D	ENSG00000162777	False	433	True	0.6600388749095835	3.099646615327009	1.0899284
CHI3L2	ENSG00000064886	False	108	True	0.2381936530559475	3.2481906107459904	2.9600205
C1orf162	ENSG00000143110	False	1034	True	1.4030672064427592	2.9661453468082026	0.6040606
ST7L	ENSG00000007341	False	78	True	0.14652329063574565	3.2176310996068813	2.8996818
LRIG2	ENSG00000198799	False	29	True	0.05611204368418185	2.1055362940354367	0.7038817
AP4B1-AS1	ENSG00000226167	False	7	True	0.01607823656867678	2.0353667065793535	0.5653338
RP5-1073O3.7	ENSG00000235527	False	66	True	0.12260785030965489	2.8530237295688905	2.1797748
CD2	ENSG00000116824	False	856	True	1.2229007442376498	3.0249420039862156	0.6910901
WARS2	ENSG00000116874	False	33	True	0.08740816018264254	3.702307676311412	3.856662
FCGR1B	ENSG00000198019	False	61	True	0.09843451354200361	2.008380559992373	0.5120504
LIX1L	ENSG00000152022	False	139	True	0.2401977595874374	2.6866330726418317	1.851241
CD160	ENSG00000117281	False	79	True	0.22827638310031104	3.0712355234455475	2.610628
FCGR1A	ENSG00000150337	False	119	True	0.21691384208157574	2.2018143855554255	0.8939801
BOLA1	ENSG00000178096	False	102	True	0.21501928034118944	3.7654056096535164	3.9812472
CTSS	ENSG00000163131	False	1396	True	2.159468942477014	3.284279512972435	0.9110147
FAM63A	ENSG00000143409	False	32	True	0.05965439721790185	2.022620993463136	0.54016775
PRUNE	ENSG00000143363	False	32	True	0.06919660985223973	2.5233087819937623	1.5287617
MLLT11	ENSG00000213190	False	85	True	0.24227875635684762	4.483020926615787	5.3981586
PI4KB	ENSG00000143393	False	137	True	0.22975413219964655	2.1673901156614015	0.8260103
