cluster	rank	gene	score	logfoldchange	pval	pval_adj
0	1	LDHB	32.37362	2.7383249	6.455273247513287e-230	8.852761731639721e-226
0	2	RPS12	30.81869	1.0086799	1.472482826917506e-208	1.0096814744173337e-204
0	3	RPS25	29.08397	1.1339942	5.726281468647094e-186	1.570604481220525e-182
0	4	RPS3	28.080143	0.8501929	1.712370780482908e-173	3.354778983363229e-170
0	5	RPS27	27.957182	0.98623955	5.391867877521991e-172	8.216008452481843e-169
0	6	CD3D	27.862389	3.1793187	7.624267321216492e-171	1.0455920204316298e-167
0	7	RPS6	27.779924	0.83464396	7.583628009935324e-170	9.454715866204822e-167
0	8	RPS14	26.84236	0.7422695	1.0357553041403609e-158	1.1836956867484091e-155
0	9	RPL31	26.566175	1.0933328	1.670333400774437e-155	1.5271301505480419e-152
0	10	TPT1	26.551107	0.91842794	2.4936213088673282e-155	2.1373451643629086e-152
0	11	RPL3	26.314024	0.83959204	1.3253646661176764e-152	1.0691794724198715e-149
0	12	RPL30	25.912188	0.97431177	4.854221544507459e-148	3.6983774589652934e-145
0	13	EEF1A1	25.718468	0.7532384	7.265299180977398e-146	5.244016471996002e-143
0	14	RPL9	25.674896	1.0754327	2.229681137852697e-145	1.5288923562255944e-142
0	15	RPS27A	25.555061	1.2584035	4.8234960576100255e-144	3.149972615907804e-141
0	16	RPLP2	25.373178	0.81926405	4.987653086297209e-142	3.1091215647945423e-139
0	17	RPS15A	25.176487	0.8973944	7.249360344689957e-140	4.322509902916438e-137
0	18	RPS18	24.879755	0.7252766	1.2324544911970993e-136	7.042450371782092e-134
0	19	RPL32	24.613106	0.6904288	9.144939297233869e-134	5.016547900890611e-131
0	20	LTB	24.359482	2.5003064	4.600172311018841e-131	2.4264139643581684e-128
1	1	CD74	28.862055	4.084945	3.576806255903681e-183	4.9052320993463075e-179
1	2	CD79A	27.780062	7.7187076	7.55471785448319e-170	5.180270032819123e-166
1	3	HLA-DRA	27.507637	4.8876743	1.4226556214313896e-166	6.503433064103359e-163
1	4	CD79B	26.4076	5.509765	1.120700354755122e-153	3.842321166277936e-150
1	5	HLA-DPB1	25.88026	4.0635843	1.1110709977621279e-147	3.0474455326619643e-144
1	6	HLA-DQA1	25.24009	5.3640203	1.4551139192649527e-140	3.3259053814665937e-137
1	7	MS4A1	25.051428	6.3867645	1.6843843128414842e-138	3.2999494951868734e-135
1	8	HLA-DRB1	24.321009	3.8997838	1.1752925346851618e-130	2.0147452275840384e-127
1	9	HLA-DQB1	24.149208	4.959159	7.611077430732035e-129	1.1597590653895457e-125
1	10	CD37	24.124147	2.4829173	1.3950559596548037e-128	1.913179743070598e-125
1	11	HLA-DPA1	23.720583	3.7027457	2.211353777116448e-124	2.7569550635795425e-121
1	12	HLA-DRB5	19.88463	3.3011303	5.528835463006269e-88	5.415889252833427e-85
1	13	TCL1A	18.249586	6.900837	2.084801675498394e-74	1.7869356361115607e-71
1	14	RPL18A	17.251472	0.7271306	1.0908401266287381e-66	8.799871468580303e-64
1	15	HLA-DMA	16.579412	3.124017	9.818358741933593e-62	6.732448589343865e-59
1	16	LINC00926	16.549583	7.263271	1.612124596426116e-61	1.0527941293041788e-58
1	17	RPS23	15.087142	0.7953624	1.9678211530487203e-51	9.995073812188944e-49
1	18	RPS11	14.971795	0.907223	1.1225041081513889e-50	5.1313404463960494e-48
1	19	RPS5	14.683731	0.78369737	8.195386318764239e-49	3.625533160501057e-46
1	20	VPREB3	14.588562	7.507271	3.321251108894125e-48	1.4233636783554383e-45
2	1	LST1	23.145994	5.126927	1.5952872404746442e-118	2.187776921586927e-114
2	2	COTL1	22.808859	3.6692128	3.7450374243263747e-115	2.567972161860595e-111
2	3	AIF1	22.579819	4.866	6.84281475161675e-113	3.1280787167890703e-109
2	4	FCER1G	22.53705	4.7577343	1.7991423495117633e-112	6.1683595453010805e-109
