cluster	rank	gene	score	logfoldchange	pval	pval_adj
3	1	NKG7	31.396503	7.1125937	2.2584517081928288e-216	3.097240672615645e-212
3	2	CST7	27.8884	6.3730154	3.6890139592066196e-171	2.529556871827979e-167
3	3	GZMA	27.46755	6.186221	4.2881344788215393e-166	1.9602492080852863e-162
3	4	CTSW	27.037384	4.6823173	5.3749655154093135e-161	1.842806926958083e-157
3	5	B2M	26.683104	0.973765	7.393741491913757e-157	2.0279554164021056e-153
3	6	CCL5	26.546227	5.4912667	2.839236379540756e-155	6.489547951503655e-152
3	7	HLA-C	25.673668	1.3327705	2.3012497085642e-145	4.5084769290356344e-142
3	8	HLA-A	22.468552	1.2604417	8.42971050456892e-112	1.445063123245727e-108
3	9	PRF1	20.662651	5.6177473	7.512536635624208e-95	1.1447436380105599e-91
3	10	GZMM	19.118383	3.4606662	1.7752819522891575e-81	2.4346216693693507e-78
3	11	PTPRCAP	18.71194	2.0212243	3.9569416809824195e-78	4.933227110272082e-75
3	12	HLA-B	18.57212	1.0287327	5.402685634550942e-77	6.1743692326859685e-74
3	13	HCST	17.168573	1.9872051	4.5649806506270236e-66	4.8157034340537695e-63
3	14	GZMB	16.962738	6.1259685	1.549513609396368e-64	1.4166686426174528e-61
3	15	GNLY	16.191072	5.249366	5.830385362200978e-59	4.826777663169288e-56
3	16	FGFBP2	16.189478	6.0723543	5.983317797424376e-59	4.826777663169288e-56
3	17	GZMH	16.109196	6.413745	2.1986730688932154e-58	1.5869790772000818e-55
3	18	IL32	14.909233	1.9595258	2.870308919824197e-50	1.7114528924551755e-47
3	19	CD99	14.849695	1.7619649	6.988536328445572e-50	3.993366133679274e-47
3	20	HOPX	14.725737	3.8593085	4.406391036753861e-49	2.417169867121698e-46
