cluster	rank	gene	score	logfoldchange	pval	pval_adj
6	1	HLA-DPA1	9.400656	4.2783146	5.422417410052873e-21	5.205738240689619e-17
6	2	HLA-DPB1	9.365183	4.4348464	7.591859764750793e-21	5.205738240689619e-17
6	3	HLA-DRA	9.059811	4.6085496	1.3067679399654167e-19	5.973671842895242e-16
6	4	HLA-DRB1	9.020924	4.2373934	1.8651042174813593e-19	6.39450980963484e-16
6	5	CD74	8.894787	3.6391494	5.853160620287338e-19	1.344489147662796e-15
6	6	HLA-DQA1	8.894236	4.8258915	5.88226256816157e-19	1.344489147662796e-15
6	7	CST3	8.859975	4.9127884	8.003225558759849e-19	1.567946218754751e-15
6	8	FCER1A	8.552179	8.774559	1.2078568209574999e-17	2.070568555326394e-14
6	9	HLA-DRB5	8.462948	3.8885899	2.607031576071473e-17	3.9725367815826865e-14
6	10	HLA-DMA	7.962036	3.505625	1.6923123930292695e-15	2.3208372158003404e-12
6	11	HLA-DQB1	7.933944	4.084104	2.122931638891062e-15	2.6467167723410934e-12
6	12	HLA-DQA2	7.3119636	4.17601	2.6326623947040697e-13	3.008694340080968e-10
6	13	LSP1	7.217554	2.206801	5.293099951994246e-13	5.184969481546363e-10
6	14	LYZ	7.1857166	4.2577515	6.685548473257012e-13	6.112374117483112e-10
6	15	CLEC10A	7.0512075	6.929531	1.7737148788797854e-12	1.520295365559836e-09
6	16	AP1S2	7.0250993	2.966939	2.1391442126005644e-12	1.725660219506126e-09
6	17	GRN	6.967484	3.0342827	3.2265964566742e-12	2.458307989268332e-09
6	18	GPX1	6.9206643	2.8019364	4.495300659587967e-12	3.2446606971362834e-09
6	19	VIM	6.903369	2.0125842	5.078353456091121e-12	3.4822269648416817e-09
6	20	GSTP1	6.846084	2.7004032	7.589888505363531e-12	4.956558617264546e-09
6	21	CPVL	6.551618	3.635362	5.691691703283171e-11	3.547993637219337e-08
6	22	HLA-DMB	6.389458	2.9530616	1.6647459910348504e-10	9.926228922196495e-08
6	23	ANXA2	6.364451	2.4289894	1.95989317164696e-10	1.1199156231652671e-07
6	24	H2AFY	6.3139963	2.5226517	2.7192020047603897e-10	1.4916454517313593e-07
6	25	LGALS1	6.1998677	2.9443579	5.651071725373199e-10	2.980722986221848e-07
6	26	GABARAP	6.1094236	2.1871557	9.999159934580276e-10	5.078832568253108e-07
6	27	LGALS2	6.026801	3.0126083	1.6723638482696436e-09	7.723452513606043e-07
6	28	ACTB	6.025149	1.0116243	1.6895404361104074e-09	7.723452513606043e-07
6	29	CTSH	5.980753	2.8080645	2.2210825502391536e-09	9.82578261096121e-07
6	30	FCGRT	5.8958173	2.5602577	3.728310515417716e-09	1.597814075263705e-06
6	31	AP2S1	5.8147373	2.195199	6.0729144782224835e-09	2.523756034980095e-06
6	32	CAPG	5.7804766	2.6173885	7.448926231505922e-09	2.9187021239677778e-06
6	33	ARPC1B	5.6641445	1.5628345	1.4775987166754415e-08	5.476699675807299e-06
6	34	TYMP	5.638256	2.4373572	1.7178084814707626e-08	6.199480398655273e-06
6	35	SPI1	5.592428	2.5035067	2.239156066117722e-08	7.8737913565996e-06
6	36	SRGN	5.5683026	2.001722	2.5723281306307772e-08	8.549203725228638e-06
6	37	RNF130	5.565218	2.6440291	2.618248187688514e-08	8.549203725228638e-06
6	38	GAPDH	5.524458	1.3572693	3.305048397479482e-08	1.0540798540240375e-05
6	39	CD33	5.457919	3.5578763	4.817467531911906e-08	1.5015170393781791e-05
6	40	ACTG1	5.444039	1.2843872	5.208590719627286e-08	1.555724647477722e-05
6	41	FCER1G	5.443708	2.5678666	5.218268469007964e-08	1.555724647477722e-05
6	42	LAP3	5.409668	2.6054268	6.31417699901024e-08	1.8263390804670927e-05
6	43	TAGLN2	5.4074645	1.92154	6.39231995496722e-08	1.8263390804670927e-05
6	44	COTL1	5.394906	1.9878047	6.855946095745845e-08	1.9188254032052758e-05
6	45	RNASE6	5.3805847	3.1575322	7.424428246246214e-08	2.0363721793804116e-05
6	46	RAC1	5.352163	1.9866663	8.690922003877871e-08	2.2920635454073293e-05
6	47	EIF4A1	5.32991	1.5304787	9.826160039274792e-08	2.5425652599738587e-05
6	48	RNH1	5.3196645	2.1859353	1.039587486860131e-07	2.6401671842221918e-05
6	49	TMSB10	5.309309	0.62821615	1.1004149756590087e-07	2.7438347229432084e-05
6	50	KLF4	5.291683	3.0092218	1.2119574448412226e-07	2.915927087465356e-05
6	51	CFP	5.287387	2.5521607	1.2407611241273373e-07	2.9337582855659147e-05
6	52	PYCARD	5.244864	2.0159464	1.5639779287406419e-07	3.635320900804942e-05
6	53	AMICA1	5.213357	2.266166	1.854533110276809e-07	4.2388445123893604e-05
6	54	PHACTR1	5.186477	3.8342285	2.1430901553839078e-07	4.818088260809002e-05
6	55	TYROBP	5.1721563	2.7843323	2.314080077829938e-07	5.118595836670931e-05
6	56	FTH1	5.1547503	1.092214	2.539689346077444e-07	5.528460268588264e-05
6	57	LST1	5.118507	2.3502216	3.0796415827412417e-07	6.49756994857129e-05
6	58	S100A10	5.118507	1.7274851	3.0796415827412417e-07	6.49756994857129e-05
6	59	IGSF6	5.10055	2.9802544	3.3866752835212063e-07	6.932069378837288e-05
6	60	LY86	5.091407	2.406671	3.5541680589392585e-07	7.167920700043086e-05
6	61	ARF5	5.069374	2.0321815	3.9912613974790915e-07	7.932776638409893e-05
6	62	TUBA1B	5.024978	1.9429547	5.034893618671332e-07	9.864075869494093e-05
6	63	RPS11	4.957999	0.8518582	7.122285975665186e-07	0.00013635360087875891
6	64	CD1C	4.957008	5.284674	7.158713185992884e-07	0.00013635360087875891
6	65	PLD4	4.92495	4.0349164	8.438181129526641e-07	0.00015852221371277856
6	66	IL1B	4.8927827	3.4012954	9.942018186856465e-07	0.00018179311655273274
6	67	LAMTOR1	4.8562083	1.879785	1.196547033085044e-06	0.00021591376331221438
6	68	SPINT2	4.8513613	2.5673172	1.226169210772843e-06	0.0002183855137212827
6	69	ALDH2	4.8270154	3.1324131	1.3859447810670186e-06	0.00024367752214811658
6	70	BID	4.785704	2.1066825	1.7038889325134358e-06	0.00029208916025611577
6	71	CYBA	4.770832	1.3276837	1.8346639489286252e-06	0.0003106244616741625
6	72	MYL6	4.7647734	1.1171921	1.8906622325368854e-06	0.0003162017299635469
6	73	ANXA5	4.7572823	1.9735519	1.9621689953963753e-06	0.0003217484643029497
6	74	PGLS	4.7564006	1.9295254	1.9707504011555913e-06	0.0003217484643029497
6	75	SLC25A6	4.751113	1.1787193	2.023000914082749e-06	0.0003263933474791861
6	76	PRELID1	4.7407575	1.7592347	2.1292053391451614e-06	0.00033953397698879937
6	77	IFI30	4.7343683	2.260242	2.1973855325209375e-06	0.0003463786803792199
6	78	C1orf162	4.726657	1.9893419	2.282466201808572e-06	0.00035570160785912224
6	79	SAMHD1	4.712005	1.9936017	2.452912962449503e-06	0.0003779690827756459
6	80	CSTB	4.631586	1.8156698	3.62875189525468e-06	0.0005529411499058075
6	81	GSN	4.6283913	3.771825	3.6851724055585323e-06	0.0005553676304376891
6	82	SERPINF1	4.5596495	8.0498	5.123906272482531e-06	0.0007475452193704833
6	83	MS4A6A	4.5571156	2.489858	5.186084131809103e-06	0.0007486521871961058
6	84	AIF1	4.5383883	2.0169017	5.668587533179636e-06	0.0008097813482294326
6	85	LGALS9	4.5013733	2.0884922	6.7515819490605395e-06	0.0009545484005094458
6	86	S100A11	4.494433	1.8073807	6.975556566194016e-06	0.0009761508443753545
6	87	RNASET2	4.4481645	1.6437134	8.660719448974285e-06	0.0011889496939498723
6	88	SH3BGRL3	4.447944	1.1636617	8.669605468498412e-06	0.0011889496939498723
6	89	TGFBI	4.4391313	2.5764468	9.032277722337228e-06	0.001226422343407255
6	90	EIF3L	4.394625	1.5468051	1.1096401392296972e-05	0.0014774373659607834
6	91	PPIA	4.379533	1.1489475	1.1893396350295098e-05	0.0015549620625582255
6	92	RGS2	4.355848	1.8890839	1.3255283426897033e-05	0.0017149335558157162
6	93	CEBPD	4.3507805	2.086384	1.3565389519096097e-05	0.0017386518865876997
6	94	VAMP8	4.345272	1.5818859	1.3910306965066639e-05	0.0017663513862863321
6	95	PFN1	4.293606	0.81380486	1.7579455682602517e-05	0.0021916786839200992
6	96	POMP	4.2866654	2.1782815	1.813751413527145e-05	0.002240881701361375
6	97	CYC1	4.255159	1.9890933	2.0890070324759787e-05	0.0025540682720592645
6	98	ENHO	4.253506	6.928241	2.1044896802005023e-05	0.0025540682720592645
6	99	TPM4	4.234999	2.1093419	2.2855276997781897e-05	0.002749449725855973
6	100	APEX1	4.197764	1.8875278	2.6956352380714944e-05	0.003159653132898502
6	101	ARPC3	4.189612	1.1160561	2.794321219134483e-05	0.003247569593153415
6	102	COX5B	4.1368437	1.4763178	3.521158457254796e-05	0.004024097256899356
6	103	RGS1	4.1326575	2.423836	3.5859294195112136e-05	0.004030937381899736
6	104	CNPY3	4.1260476	1.7749192	3.690507924569895e-05	0.004114766315248093
6	105	SYK	4.0914564	2.5633388	4.286724145364361e-05	0.0047030507943621475
6	106	CLIC1	4.077025	1.3579228	4.561556843970729e-05	0.0049648563935090935
6	107	RPS6KA4	4.070085	3.4621077	4.69960209447936e-05	0.005074830167219681
6	108	YIF1B	4.031307	2.8685613	5.5467431941200976e-05	0.005942815325325235
6	109	LAMTOR2	4.0144525	1.7902818	5.958394490980338e-05	0.006334373802271655
6	110	RAB7A	4.0055294	1.6258433	6.187876887342958e-05	0.006527734125617026
6	111	HLA-DQB2	3.9960554	4.0530663	6.440670808552341e-05	0.006742546524311969
6	112	EIF3K	3.9913182	1.2359506	6.570703741603566e-05	0.006826562963056917
6	113	ATP5J2	3.979641	1.562507	6.901942823686155e-05	0.007116785254438492
6	114	ARF3	3.9691756	2.4085498	7.212176149486286e-05	0.007381177889108578
6	115	MNDA	3.9649892	2.3102107	7.339925002102437e-05	0.007456276405839468
6	116	ZFP36	3.9602523	1.3200663	7.487063276640258e-05	0.007549822483517978
6	117	ATP5B	3.9557357	1.5311897	7.629952147699061e-05	0.007637749179090871
6	118	CCDC88A	3.9516594	3.8464103	7.761110638826856e-05	0.007712744297164601
6	119	CD1D	3.9462616	3.1530445	7.938090140597597e-05	0.007831868214975212
6	120	NCF2	3.9387705	1.8334187	8.190023870580494e-05	0.008022713382938636
6	121	SULF2	3.9234579	3.8527296	8.728706503084272e-05	0.008489750424347355
6	122	FGR	3.9129922	1.6892167	9.115944397461801e-05	0.008803947990619095
6	123	BST2	3.9063826	1.4963355	9.368816373681172e-05	0.008984891450955497
6	124	OAZ1	3.889087	0.9152687	0.00010062208253075092	0.009516767171218746
6	125	ATG3	3.8387425	1.7405189	0.00012366609643845683	0.011459167882141871
6	126	CFL1	3.8302598	0.83043957	0.0001280080202102919	0.01178189254472445
6	127	MRPL23	3.8204553	1.6039076	0.00013320553755628611	0.012169497440707291
6	128	SRSF7	3.8173707	1.4972779	0.00013488140666381132	0.012169497440707291
6	129	TNFSF13B	3.8076763	2.0407813	0.00014027867085450926	0.012573736549664968
6	130	CD302	3.8015072	2.9800541	0.00014381851935659694	0.012724691448105615
6	131	FDFT1	3.7969906	2.141029	0.00014646335168709985	0.012875630801518509
6	132	COPE	3.7879572	1.4654183	0.00015189100031283166	0.013267727250255882
6	133	S100A6	3.7727547	1.2318597	0.00016145500432423538	0.01401388562849724
6	134	SUMO3	3.7672465	1.7085102	0.00016505797148862956	0.014236509566006703
